Name = NACA 4418
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.096	0.31906	-0.031	0.904	0.014	0.948	0.023	-3.436	0.282	0.222
-19.0	-1.077	0.28344	-0.032	0.894	0.016	0.945	0.024	-3.800	0.280	0.221
-18.0	-1.050	0.25290	-0.032	0.885	0.017	0.942	0.025	-4.151	0.278	0.219
-17.0	-1.014	0.22383	-0.033	0.877	0.018	0.939	0.026	-4.531	0.275	0.217
-16.0	-0.970	0.20028	-0.034	0.865	0.019	0.936	0.028	-4.844	0.272	0.214
-15.0	-0.918	0.17891	-0.036	0.853	0.020	0.932	0.030	-5.130	0.271	0.211
-14.0	-0.857	0.15931	-0.037	0.841	0.021	0.927	0.032	-5.380	0.271	0.207
-13.0	-0.789	0.14000	-0.038	0.825	0.023	0.923	0.036	-5.637	0.273	0.202
-12.0	-0.715	0.12436	-0.040	0.809	0.025	0.918	0.041	-5.747	0.274	0.194
-11.0	-0.633	0.10999	-0.042	0.791	0.028	0.914	0.047	-5.757	0.273	0.184
-10.0	-0.546	0.09794	-0.044	0.769	0.033	0.910	0.053	-5.572	0.276	0.169
-9.0	-0.455	0.08705	-0.047	0.748	0.038	0.905	0.064	-5.228	0.280	0.147
-8.0	-0.361	0.07769	-0.050	0.721	0.044	0.901	0.077	-4.649	0.289	0.113
-7.0	-0.265	0.06895	-0.054	0.693	0.052	0.896	0.108	-3.848	0.299	0.046
-6.0	-0.167	0.06141	-0.059	0.663	0.067	0.891	0.150	-2.713	0.310	-0.104
-5.0	-0.065	0.05366	-0.066	0.626	0.084	0.888	0.236	-1.213	0.360	-0.765
-4.0	0.045	0.03972	-0.082	0.586	0.105	0.885	0.635	1.124	0.355	2.094
-3.0	0.171	0.03587	-0.091	0.541	0.137	0.883	0.927	4.775	0.295	0.780
-2.0	0.298	0.03570	-0.094	0.488	0.177	0.882	0.963	8.333	0.270	0.565
-1.0	0.423	0.03595	-0.096	0.442	0.229	0.875	0.977	11.768	0.267	0.477
0.0	0.533	0.03733	-0.098	0.423	0.293	0.847	0.980	14.288	0.263	0.433
1.0	0.649	0.03846	-0.099	0.407	0.571	0.813	0.969	16.887	0.260	0.402
2.0	0.762	0.04033	-0.100	0.390	0.664	0.771	0.968	18.903	0.260	0.381
3.0	0.872	0.04279	-0.101	0.369	0.764	0.728	0.962	20.381	0.258	0.366
4.0	0.977	0.04588	-0.102	0.351	0.832	0.678	0.959	21.300	0.259	0.354
5.0	1.082	0.04949	-0.103	0.326	0.871	0.642	0.960	21.865	0.262	0.345
6.0	1.185	0.05370	-0.104	0.298	0.895	0.613	0.962	22.072	0.265	0.338
7.0	1.287	0.05855	-0.106	0.265	0.912	0.592	0.965	21.978	0.267	0.332
8.0	1.385	0.06418	-0.108	0.228	0.927	0.576	0.968	21.584	0.269	0.328
9.0	1.481	0.07058	-0.110	0.184	0.937	0.566	0.973	20.982	0.272	0.324
10.0	1.573	0.07798	-0.112	0.131	0.944	0.559	0.976	20.171	0.272	0.321
11.0	1.653	0.08672	-0.113	0.079	0.952	0.543	0.978	19.063	0.264	0.319
12.0	1.713	0.09846	-0.114	0.051	0.959	0.495	0.980	17.403	0.244	0.316
13.0	1.758	0.11333	-0.113	0.034	0.962	0.431	0.982	15.514	0.118	0.314
14.0	1.765	0.13702	-0.107	0.028	0.966	0.298	0.984	12.879	1.338	0.311
15.0	1.737	0.16997	-0.090	0.023	0.971	0.113	0.986	10.220	2.871	0.302
16.0	1.755	0.19413	-0.081	0.019	0.976	0.061	0.989	9.040	-0.032	0.296
17.0	1.779	0.21824	-0.078	0.016	0.978	0.046	0.992	8.151	0.053	0.294
18.0	1.786	0.24454	-0.075	0.014	0.980	0.034	0.997	7.305	-0.427	0.292
19.0	1.785	0.27152	-0.074	0.012	0.982	0.030	0.997	6.573	0.355	0.291
20.0	1.773	0.30435	-0.073	0.011	0.985	0.026	0.998	5.826	0.305	0.291

Name = NACA 4418
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.118	0.17968	-0.042	0.823	0.011	0.990	0.103	-6.222	0.339	0.212
-19.0	-1.101	0.16074	-0.044	0.806	0.012	0.990	0.113	-6.850	0.337	0.210
-18.0	-1.077	0.14097	-0.046	0.786	0.013	0.990	0.131	-7.643	0.319	0.207
-17.0	-1.045	0.12443	-0.048	0.764	0.016	0.990	0.147	-8.395	0.307	0.204
-16.0	-1.004	0.10870	-0.050	0.741	0.017	0.990	0.169	-9.238	0.305	0.200
-15.0	-0.956	0.09390	-0.053	0.716	0.018	0.990	0.198	-10.181	0.304	0.195
-14.0	-0.901	0.07985	-0.056	0.687	0.019	0.990	0.237	-11.280	0.305	0.188
-13.0	-0.839	0.06626	-0.059	0.661	0.020	0.990	0.290	-12.663	0.312	0.180
-12.0	-0.774	0.05217	-0.063	0.626	0.022	0.990	0.375	-14.829	0.332	0.168
-11.0	-0.710	0.03609	-0.070	0.594	0.025	0.989	0.539	-19.681	0.337	0.152
-10.0	-0.636	0.02540	-0.075	0.559	0.028	0.989	0.722	-25.033	0.313	0.131
-9.0	-0.545	0.02018	-0.080	0.518	0.033	0.987	0.871	-27.025	0.288	0.103
-8.0	-0.437	0.01803	-0.083	0.468	0.038	0.986	0.936	-24.241	0.274	0.060
-7.0	-0.320	0.01675	-0.085	0.432	0.044	0.985	0.962	-19.131	0.269	-0.016
-6.0	-0.200	0.01555	-0.088	0.414	0.052	0.984	0.976	-12.846	0.268	-0.188
-5.0	-0.077	0.01776	-0.090	0.401	0.064	0.982	0.981	-4.309	0.267	-0.921
-4.0	0.048	0.01446	-0.092	0.381	0.077	0.980	0.985	3.321	0.267	2.160
-3.0	0.173	0.01533	-0.094	0.362	0.095	0.979	0.989	11.312	0.267	0.792
-2.0	0.299	0.01546	-0.096	0.349	0.118	0.977	0.990	19.349	0.267	0.571
-1.0	0.424	0.01587	-0.098	0.325	0.144	0.974	0.991	26.733	0.268	0.482
0.0	0.547	0.01639	-0.100	0.303	0.173	0.970	0.992	33.360	0.268	0.434
1.0	0.670	0.01713	-0.103	0.280	0.206	0.965	0.993	39.116	0.268	0.403
2.0	0.792	0.01798	-0.105	0.254	0.244	0.960	0.994	44.069	0.269	0.383
3.0	0.913	0.01909	-0.107	0.227	0.288	0.953	0.995	47.857	0.269	0.367
