Name = NACA 4412
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.659	0.45694	-0.029	0.939	0.006	0.966	0.008	-1.443	0.228	0.205
-19.0	-0.686	0.40650	-0.030	0.936	0.006	0.964	0.008	-1.688	0.227	0.206
-18.0	-0.708	0.34405	-0.030	0.930	0.006	0.963	0.008	-2.057	0.224	0.207
-17.0	-0.722	0.31010	-0.031	0.922	0.007	0.962	0.009	-2.329	0.166	0.207
-16.0	-0.718	0.26205	-0.031	0.915	0.007	0.960	0.009	-2.740	0.311	0.206
-15.0	-0.705	0.23964	-0.032	0.909	0.007	0.958	0.009	-2.941	0.285	0.205
-14.0	-0.682	0.20387	-0.033	0.898	0.007	0.956	0.010	-3.344	0.273	0.202
-13.0	-0.648	0.17466	-0.033	0.887	0.008	0.952	0.010	-3.713	0.267	0.199
-12.0	-0.605	0.14782	-0.034	0.877	0.008	0.948	0.011	-4.091	0.267	0.194
-11.0	-0.551	0.12702	-0.035	0.862	0.009	0.945	0.012	-4.337	0.269	0.187
-10.0	-0.487	0.11006	-0.036	0.847	0.009	0.942	0.013	-4.429	0.270	0.176
-9.0	-0.416	0.09531	-0.038	0.830	0.011	0.938	0.015	-4.360	0.277	0.160
-8.0	-0.336	0.08348	-0.040	0.809	0.013	0.936	0.020	-4.029	0.277	0.131
-7.0	-0.251	0.07338	-0.042	0.787	0.017	0.932	0.024	-3.420	0.272	0.082
-6.0	-0.161	0.06512	-0.044	0.761	0.021	0.928	0.028	-2.471	0.280	-0.023
-5.0	-0.068	0.05867	-0.048	0.731	0.025	0.924	0.039	-1.151	0.304	-0.455
-4.0	0.029	0.05304	-0.054	0.699	0.039	0.921	0.070	0.538	0.455	2.147
-3.0	0.155	0.02726	-0.093	0.660	0.061	0.919	0.984	5.668	0.414	0.853
-2.0	0.275	0.02849	-0.095	0.612	0.102	0.919	0.992	9.655	0.262	0.594
-1.0	0.395	0.02914	-0.096	0.554	0.193	0.920	0.993	13.569	0.262	0.493
0.0	0.508	0.03120	-0.097	0.476	0.844	0.927	0.979	16.285	0.261	0.442
1.0	0.624	0.03242	-0.099	0.431	0.906	0.915	0.978	19.265	0.259	0.408
2.0	0.738	0.03398	-0.099	0.411	0.934	0.889	0.979	21.710	0.257	0.385
3.0	0.847	0.03596	-0.100	0.391	0.949	0.853	0.982	23.562	0.256	0.368
4.0	0.952	0.03728	-0.101	0.367	0.961	0.809	0.984	25.544	0.252	0.356
5.0	1.049	0.04071	-0.101	0.347	0.968	0.748	0.987	25.755	0.253	0.346
6.0	1.146	0.04488	-0.101	0.307	0.975	0.716	0.989	25.525	0.259	0.338
7.0	1.241	0.04926	-0.102	0.256	0.978	0.699	0.991	25.188	0.275	0.333
8.0	1.360	0.05280	-0.107	0.032	0.981	0.797	0.993	25.753	0.262	0.329
9.0	1.398	0.06097	-0.104	0.016	0.985	0.655	0.997	22.922	0.810	0.325
10.0	1.265	0.09775	-0.054	0.012	0.990	0.022	0.997	12.938	0.839	0.292
11.0	1.308	0.11335	-0.051	0.009	0.997	0.016	0.997	11.539	0.199	0.289
12.0	1.338	0.13169	-0.050	0.006	0.997	0.013	0.997	10.162	0.174	0.287
13.0	1.354	0.15153	-0.048	0.005	0.998	0.010	0.998	8.939	0.033	0.285
14.0	1.357	0.17741	-0.046	0.004	0.997	0.008	0.998	7.648	0.544	0.284
15.0	1.346	0.20170	-0.045	0.004	0.998	0.007	0.998	6.674	0.272	0.284
16.0	1.323	0.23603	-0.045	0.004	0.998	0.006	0.998	5.605	0.260	0.284
17.0	1.289	0.27377	-0.045	0.003	0.998	0.005	0.998	4.709	0.260	0.285
18.0	1.247	0.31644	-0.044	0.003	0.998	0.005	0.998	3.940	0.248	0.286
19.0	1.197	0.36612	-0.045	0.003	0.998	0.005	0.998	3.271	0.244	0.288
20.0	1.143	0.39805	-0.045	0.003	0.998	0.005	0.999	2.873	0.250	0.289

Name = NACA 4412
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.660	0.22796	-0.034	0.883	0.006	0.991	0.014	-2.897	0.236	0.199
-19.0	-0.687	0.20445	-0.034	0.873	0.006	0.991	0.015	-3.362	0.240	0.201
-18.0	-0.709	0.18436	-0.034	0.854	0.006	0.991	0.014	-3.845	0.198	0.202
-17.0	-0.724	0.16613	-0.036	0.840	0.006	0.991	0.018	-4.358	0.095	0.200
-16.0	-0.719	0.14608	-0.036	0.818	0.007	0.992	0.017	-4.925	0.391	0.200
-15.0	-0.707	0.12974	-0.038	0.799	0.007	0.992	0.022	-5.449	0.344	0.196
-14.0	-0.684	0.11469	-0.039	0.772	0.007	0.992	0.024	-5.964	0.288	0.193
-13.0	-0.651	0.10183	-0.040	0.748	0.008	0.992	0.026	-6.393	0.317	0.188
-12.0	-0.609	0.08902	-0.044	0.717	0.008	0.992	0.039	-6.841	0.316	0.178
-11.0	-0.556	0.07772	-0.047	0.684	0.009	0.992	0.049	-7.153	0.312	0.166
-10.0	-0.495	0.06671	-0.051	0.652	0.009	0.992	0.072	-7.415	0.343	0.147
-9.0	-0.428	0.05447	-0.059	0.613	0.011	0.992	0.133	-7.853	0.505	0.113
-8.0	-0.383	0.02502	-0.080	0.570	0.013	0.992	0.581	-15.317	0.516	0.043
-7.0	-0.311	0.01278	-0.090	0.522	0.017	0.991	0.985	-24.323	0.312	-0.038
-6.0	-0.199	0.01342	-0.091	0.450	0.020	0.991	0.990	-14.851	0.261	-0.206
-5.0	-0.083	0.01306	-0.092	0.423	0.025	0.991	0.992	-6.391	0.261	-0.854
-4.0	0.035	0.01269	-0.093	0.406	0.035	0.991	0.994	2.761	0.261	2.917
-3.0	0.155	0.01252	-0.095	0.387	0.047	0.991	0.995	12.365	0.261	0.862
-2.0	0.275	0.01251	-0.096	0.366	0.071	0.990	0.997	22.017	0.262	0.599
-1.0	0.396	0.01318	-0.098	0.351	0.105	0.990	0.997	30.025	0.262	0.497
0.0	0.515	0.01204	-0.099	0.327	0.148	0.989	0.998	42.730	0.262	0.442
1.0	0.634	0.01216	-0.100	0.301	0.198	0.987	0.998	52.130	0.262	0.409
