Name = NACA 4415
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.911	0.35784	-0.030	0.921	0.009	0.960	0.012	-2.547	1.131	0.217
-19.0	-0.911	0.32089	-0.031	0.915	0.009	0.958	0.013	-2.838	0.401	0.216
-18.0	-0.903	0.27997	-0.031	0.910	0.009	0.954	0.014	-3.225	0.305	0.215
-17.0	-0.886	0.25622	-0.032	0.901	0.010	0.951	0.014	-3.460	0.283	0.214
-16.0	-0.861	0.22131	-0.033	0.891	0.010	0.948	0.015	-3.892	0.282	0.212
-15.0	-0.827	0.19565	-0.034	0.882	0.011	0.944	0.017	-4.227	0.281	0.209
-14.0	-0.784	0.17170	-0.035	0.871	0.012	0.941	0.019	-4.563	0.279	0.205
-13.0	-0.731	0.15223	-0.037	0.856	0.014	0.939	0.022	-4.801	0.272	0.200
-12.0	-0.669	0.13396	-0.038	0.843	0.017	0.935	0.023	-4.994	0.268	0.193
-11.0	-0.599	0.11765	-0.039	0.827	0.018	0.931	0.026	-5.093	0.268	0.185
-10.0	-0.522	0.10273	-0.040	0.808	0.020	0.926	0.028	-5.084	0.269	0.172
-9.0	-0.439	0.09010	-0.042	0.789	0.022	0.921	0.032	-4.874	0.274	0.154
-8.0	-0.351	0.07973	-0.045	0.765	0.025	0.918	0.039	-4.405	0.280	0.123
-7.0	-0.259	0.07104	-0.048	0.739	0.030	0.914	0.049	-3.645	0.287	0.067
-6.0	-0.164	0.06381	-0.052	0.712	0.039	0.910	0.068	-2.566	0.301	-0.065
-5.0	-0.066	0.05698	-0.057	0.678	0.049	0.907	0.107	-1.164	0.335	-0.616
-4.0	0.035	0.04845	-0.068	0.640	0.070	0.904	0.235	0.721	0.403	2.207
-3.0	0.163	0.03304	-0.092	0.598	0.101	0.902	0.974	4.940	0.353	0.816
-2.0	0.286	0.02930	-0.094	0.546	0.151	0.902	0.984	9.774	0.266	0.579
-1.0	0.409	0.03119	-0.096	0.483	0.211	0.904	0.990	13.121	0.265	0.485
0.0	0.521	0.03229	-0.098	0.436	0.339	0.894	0.991	16.143	0.261	0.438
1.0	0.637	0.03520	-0.099	0.417	0.738	0.868	0.977	18.107	0.258	0.405
2.0	0.750	0.03693	-0.100	0.400	0.837	0.832	0.970	20.312	0.258	0.383
3.0	0.860	0.03913	-0.101	0.378	0.884	0.792	0.970	21.974	0.257	0.367
4.0	0.965	0.04197	-0.101	0.358	0.912	0.741	0.972	22.980	0.255	0.355
5.0	1.065	0.04551	-0.102	0.336	0.933	0.688	0.975	23.392	0.257	0.345
6.0	1.165	0.04952	-0.103	0.303	0.942	0.658	0.977	23.531	0.261	0.338
7.0	1.264	0.05413	-0.104	0.262	0.953	0.637	0.979	23.355	0.265	0.332
8.0	1.361	0.05934	-0.106	0.210	0.960	0.631	0.981	22.932	0.273	0.328
9.0	1.463	0.06382	-0.108	0.115	0.965	0.659	0.984	22.914	0.273	0.324
10.0	1.543	0.07103	-0.110	0.035	0.970	0.641	0.986	21.729	0.239	0.321
11.0	1.580	0.08438	-0.107	0.027	0.975	0.518	0.989	18.722	0.862	0.318
12.0	1.487	0.12206	-0.075	0.017	0.978	0.081	0.992	12.182	0.901	0.301
13.0	1.514	0.13997	-0.065	0.015	0.980	0.035	0.997	10.820	0.015	0.293
14.0	1.544	0.16081	-0.062	0.012	0.984	0.026	0.998	9.599	0.151	0.290
15.0	1.562	0.18267	-0.060	0.011	0.987	0.020	0.997	8.549	0.128	0.288
16.0	1.568	0.20907	-0.059	0.009	0.997	0.017	0.997	7.500	-0.817	0.288
17.0	1.563	0.23679	-0.059	0.008	0.997	0.015	0.997	6.600	0.278	0.287
18.0	1.547	0.26510	-0.058	0.007	0.997	0.014	0.997	5.834	0.257	0.288
19.0	1.520	0.30012	-0.058	0.006	0.997	0.013	0.998	5.066	0.253	0.288
20.0	1.485	0.33459	-0.058	0.005	0.997	0.012	0.998	4.439	0.254	0.289

Name = NACA 4415
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.919	0.19958	-0.040	0.853	0.008	0.991	0.048	-4.607	22.410	0.207
-19.0	-0.919	0.18179	-0.041	0.840	0.008	0.991	0.051	-5.058	0.582	0.206
-18.0	-0.913	0.16293	-0.042	0.819	0.009	0.991	0.057	-5.601	0.375	0.204
-17.0	-0.897	0.14694	-0.043	0.802	0.009	0.991	0.063	-6.106	0.328	0.202
-16.0	-0.873	0.13035	-0.045	0.778	0.009	0.991	0.072	-6.701	0.322	0.198
-15.0	-0.841	0.11427	-0.048	0.757	0.010	0.991	0.086	-7.363	0.313	0.194
-14.0	-0.800	0.10010	-0.050	0.728	0.011	0.991	0.102	-7.988	0.311	0.188
-13.0	-0.750	0.08561	-0.053	0.703	0.013	0.991	0.130	-8.766	0.315	0.179
-12.0	-0.693	0.07201	-0.057	0.670	0.015	0.991	0.168	-9.624	0.321	0.168
-11.0	-0.630	0.05843	-0.062	0.636	0.017	0.991	0.234	-10.785	0.367	0.152
-10.0	-0.574	0.03867	-0.071	0.603	0.018	0.991	0.429	-14.847	0.445	0.127
-9.0	-0.526	0.02104	-0.082	0.563	0.021	0.991	0.826	-24.983	0.355	0.094
-8.0	-0.431	0.01813	-0.086	0.519	0.023	0.991	0.954	-23.761	0.278	0.051
-7.0	-0.318	0.01683	-0.088	0.461	0.028	0.990	0.978	-18.915	0.266	-0.026
-6.0	-0.201	0.01256	-0.089	0.428	0.035	0.990	0.985	-15.977	0.264	-0.196
-5.0	-0.081	0.01221	-0.091	0.410	0.043	0.989	0.990	-6.596	0.264	-0.881
-4.0	0.041	0.01185	-0.093	0.396	0.055	0.987	0.991	3.474	0.264	2.504
-3.0	0.164	0.01170	-0.094	0.372	0.072	0.986	0.992	14.002	0.264	0.827
-2.0	0.287	0.01149	-0.096	0.356	0.096	0.984	0.993	24.980	0.264	0.585
-1.0	0.410	0.01140	-0.098	0.342	0.126	0.983	0.995	35.924	0.265	0.489
0.0	0.531	0.01541	-0.100	0.313	0.161	0.981	0.996	34.423	0.265	0.438
1.0	0.652	0.01602	-0.102	0.292	0.201	0.978	0.997	40.691	0.265	0.406
2.0	0.772	0.01750	-0.103	0.260	0.248	0.974	0.997	44.131	0.265	0.384
3.0	0.892	0.01844	-0.105	0.230	0.314	0.968	0.997	48.341	0.265	0.368
4.0	1.010	0.01916	-0.107	0.200	0.513	0.962	0.997	52.682	0.265	0.356
5.0	1.125	0.02085	-0.109	0.162	0.568	0.953	0.998	53.954	0.265	0.347
6.0	1.236	0.02291	-0.111	0.120	0.649	0.940	0.998	53.954	0.265	0.339
7.0	1.342	0.02537	-0.112	0.081	0.763	0.924	0.998	52.908	0.265	0.334
8.0	1.441	0.02826	-0.114	0.051	0.845	0.904	0.998	50.991	0.266	0.329
9.0	1.532	0.03153	-0.115	0.033	0.887	0.880	0.998	48.577	0.266	0.325
10.0	1.614	0.03495	-0.117	0.025	0.913	0.853	0.998	46.169	0.266	0.322
11.0	1.686	0.03920	-0.118	0.017	0.933	0.820	0.998	43.003	0.266	0.320
12.0	1.743	0.04416	-0.119	0.014	0.944	0.784	0.998	39.476	0.268	0.318
13.0	1.781	0.04978	-0.119	0.012	0.956	0.744	0.998	35.777	0.272	0.317
14.0	1.801	0.05690	-0.120	0.010	0.962	0.698	0.998	31.659	0.276	0.317
15.0	1.805	0.06568	-0.120	0.009	0.969	0.648	0.998	27.484	0.260	0.317
16.0	1.792	0.07672	-0.120	0.007	0.976	0.591	0.998	23.357	0.274	0.317
17.0	1.763	0.09058	-0.119	0.006	0.980	0.528	0.998	19.459	0.275	0.318
18.0	1.722	0.10647	-0.118	0.005	0.984	0.469	0.998	16.175	0.277	0.319
19.0	1.669	0.12665	-0.117	0.005	0.997	0.406	0.998	13.182	0.285	0.320
20.0	1.606	0.15117	-0.114	0.004	0.997	0.339	0.998	10.627	0.289	0.321

Name = NACA 4415
Mach = 0; Re = 830000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.925	0.18268	-0.043	0.801	0.007	0.992	0.072	-5.063	-1.555	0.203
-19.0	-0.925	0.16473	-0.044	0.776	0.007	0.992	0.078	-5.618	0.773	0.202
-18.0	-0.919	0.14750	-0.046	0.756	0.008	0.992	0.088	-6.234	0.389	0.200
-17.0	-0.904	0.13286	-0.047	0.726	0.007	0.992	0.095	-6.807	0.332	0.198
-16.0	-0.881	0.11738	-0.049	0.703	0.008	0.992	0.108	-7.507	0.331	0.194
-15.0	-0.850	0.10225	-0.052	0.670	0.008	0.992	0.130	-8.317	0.326	0.189
-14.0	-0.811	0.08782	-0.054	0.637	0.009	0.992	0.158	-9.230	0.325	0.183
-13.0	-0.764	0.07323	-0.058	0.608	0.011	0.992	0.203	-10.428	0.330	0.174
-12.0	-0.710	0.05873	-0.062	0.568	0.012	0.992	0.271	-12.092	0.358	0.162
-11.0	-0.659	0.04087	-0.069	0.528	0.014	0.992	0.424	-16.113	0.440	0.145
-10.0	-0.620	0.02176	-0.080	0.483	0.017	0.991	0.779	-28.470	0.372	0.121
-9.0	-0.538	0.01771	-0.084	0.434	0.018	0.991	0.938	-30.362	0.285	0.094
-8.0	-0.432	0.01620	-0.086	0.414	0.021	0.991	0.973	-26.686	0.267	0.051
-7.0	-0.319	0.01168	-0.088	0.401	0.023	0.991	0.983	-27.278	0.264	-0.026
-6.0	-0.201	0.01226	-0.089	0.379	0.029	0.990	0.989	-16.381	0.264	-0.196
-5.0	-0.081	0.01181	-0.091	0.361	0.036	0.990	0.991	-6.820	0.264	-0.881
-4.0	0.041	0.01157	-0.093	0.348	0.045	0.990	0.992	3.558	0.264	2.505
-3.0	0.164	0.01058	-0.095	0.325	0.058	0.989	0.993	15.482	0.264	0.827
-2.0	0.287	0.01050	-0.096	0.303	0.075	0.987	0.994	27.339	0.264	0.585
-1.0	0.410	0.01053	-0.098	0.279	0.098	0.985	0.996	38.915	0.265	0.489
0.0	0.531	0.01065	-0.100	0.253	0.125	0.983	0.997	49.842	0.265	0.438
1.0	0.652	0.01559	-0.102	0.225	0.155	0.981	0.997	41.837	0.265	0.406
2.0	0.773	0.01622	-0.104	0.201	0.189	0.978	0.998	47.651	0.265	0.384
3.0	0.892	0.01737	-0.105	0.167	0.228	0.973	0.997	51.373	0.265	0.368
4.0	1.010	0.01855	-0.107	0.135	0.274	0.967	0.998	54.478	0.266	0.356
5.0	1.126	0.02004	-0.109	0.102	0.340	0.959	0.998	56.201	0.266	0.347
6.0	1.238	0.02156	-0.111	0.072	0.501	0.947	0.998	57.415	0.266	0.340
7.0	1.345	0.02369	-0.113	0.048	0.545	0.935	0.998	56.791	0.266	0.334
8.0	1.445	0.02600	-0.114	0.032	0.606	0.917	0.998	55.560	0.267	0.329
9.0	1.537	0.02843	-0.116	0.024	0.695	0.898	0.998	54.075	0.267	0.325
10.0	1.621	0.03127	-0.117	0.017	0.800	0.875	0.998	51.841	0.267	0.322
11.0	1.695	0.03464	-0.118	0.013	0.867	0.847	0.998	48.933	0.268	0.320
12.0	1.755	0.03864	-0.120	0.011	0.904	0.816	0.998	45.406	0.271	0.318
13.0	1.795	0.04334	-0.121	0.010	0.922	0.781	0.998	41.406	0.278	0.317
14.0	1.818	0.04914	-0.121	0.008	0.939	0.741	0.998	36.997	0.292	0.317
15.0	1.824	0.05620	-0.122	0.007	0.952	0.696	0.998	32.458	0.174	0.317
16.0	1.812	0.06594	-0.122	0.005	0.961	0.642	0.998	27.478	0.260	0.317
17.0	1.784	0.07787	-0.121	0.004	0.969	0.583	0.998	22.905	0.263	0.318
18.0	1.745	0.09106	-0.121	0.004	0.976	0.528	0.998	19.162	0.266	0.319
19.0	1.694	0.10779	-0.120	0.003	0.981	0.470	0.998	15.712	0.269	0.321
20.0	1.635	0.12678	-0.119	0.003	0.988	0.415	0.998	12.893	0.270	0.323

Name = NACA 4415
Mach = 0; Re = 1230000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.928	0.17384	-0.045	0.754	0.007	0.992	0.085	-5.337	-0.959	0.202
-19.0	-0.929	0.15640	-0.046	0.722	0.007	0.992	0.093	-5.939	0.784	0.201
-18.0	-0.923	0.14023	-0.047	0.697	0.007	0.992	0.102	-6.580	0.393	0.199
-17.0	-0.908	0.12553	-0.049	0.667	0.007	0.992	0.113	-7.235	0.348	0.196
-16.0	-0.886	0.11050	-0.051	0.633	0.007	0.992	0.130	-8.019	0.336	0.193
-15.0	-0.855	0.09582	-0.053	0.608	0.008	0.992	0.154	-8.926	0.327	0.188
-14.0	-0.816	0.08185	-0.056	0.568	0.008	0.992	0.187	-9.974	0.330	0.181
-13.0	-0.771	0.06712	-0.060	0.531	0.009	0.992	0.242	-11.482	0.339	0.172
-12.0	-0.720	0.05191	-0.065	0.494	0.011	0.992	0.329	-13.866	0.380	0.160
-11.0	-0.675	0.03317	-0.073	0.438	0.012	0.992	0.533	-20.341	0.439	0.142
-10.0	-0.632	0.01880	-0.082	0.416	0.016	0.992	0.874	-33.610	0.337	0.121
-9.0	-0.540	0.01646	-0.084	0.403	0.017	0.991	0.957	-32.794	0.274	0.094
-8.0	-0.433	0.01515	-0.086	0.382	0.019	0.991	0.978	-28.569	0.266	0.051
-7.0	-0.319	0.01104	-0.088	0.362	0.021	0.991	0.986	-28.891	0.264	-0.026
-6.0	-0.201	0.01158	-0.090	0.351	0.025	0.991	0.990	-17.338	0.264	-0.196
-5.0	-0.081	0.01131	-0.091	0.332	0.032	0.990	0.991	-7.124	0.264	-0.881
-4.0	0.041	0.01116	-0.093	0.307	0.039	0.991	0.992	3.688	0.264	2.505
-3.0	0.164	0.01099	-0.095	0.293	0.051	0.990	0.993	14.906	0.264	0.827
-2.0	0.287	0.01006	-0.096	0.261	0.065	0.989	0.995	28.535	0.264	0.586
-1.0	0.410	0.01007	-0.098	0.244	0.084	0.987	0.996	40.691	0.265	0.489
0.0	0.531	0.01037	-0.100	0.212	0.107	0.984	0.997	51.184	0.265	0.438
1.0	0.652	0.01116	-0.102	0.187	0.133	0.982	0.997	58.452	0.265	0.406
2.0	0.773	0.01573	-0.104	0.161	0.161	0.980	0.998	49.148	0.265	0.384
3.0	0.893	0.01678	-0.105	0.130	0.192	0.976	0.997	53.196	0.265	0.368
4.0	1.011	0.01801	-0.107	0.101	0.228	0.969	0.998	56.135	0.266	0.356
5.0	1.127	0.01938	-0.109	0.074	0.270	0.962	0.998	58.136	0.266	0.347
6.0	1.239	0.02102	-0.111	0.051	0.325	0.952	0.998	58.947	0.266	0.340
7.0	1.347	0.02261	-0.113	0.035	0.476	0.940	0.998	59.578	0.267	0.334
8.0	1.447	0.02467	-0.114	0.025	0.511	0.926	0.998	58.667	0.267	0.329
9.0	1.541	0.02696	-0.116	0.018	0.557	0.908	0.998	57.146	0.268	0.325
10.0	1.625	0.02960	-0.117	0.014	0.618	0.887	0.999	54.909	0.268	0.322
11.0	1.700	0.03257	-0.119	0.011	0.705	0.862	0.999	52.203	0.270	0.320
12.0	1.761	0.03601	-0.120	0.010	0.803	0.834	0.999	48.903	0.273	0.318
13.0	1.802	0.04010	-0.121	0.008	0.871	0.801	0.999	44.945	0.280	0.317
14.0	1.826	0.04524	-0.122	0.007	0.906	0.763	0.999	40.371	0.294	0.317
15.0	1.832	0.05224	-0.123	0.005	0.928	0.717	0.998	35.078	0.120	0.317
16.0	1.821	0.06096	-0.123	0.004	0.942	0.666	0.998	29.880	0.248	0.317
17.0	1.795	0.07132	-0.123	0.003	0.957	0.612	0.998	25.171	0.256	0.318
18.0	1.757	0.08324	-0.122	0.003	0.964	0.561	0.998	21.110	0.263	0.320
19.0	1.705	0.09883	-0.121	0.003	0.975	0.500	0.998	17.254	0.267	0.321
20.0	1.646	0.11634	-0.121	0.002	0.980	0.446	0.998	14.150	0.266	0.323

Name = NACA 4415
Mach = 0; Re = 1630000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.930	0.16832	-0.045	0.708	0.006	0.992	0.093	-5.524	-0.829	0.201
-19.0	-0.931	0.15101	-0.047	0.674	0.007	0.992	0.102	-6.165	0.873	0.200
-18.0	-0.925	0.13528	-0.048	0.646	0.007	0.992	0.113	-6.839	0.416	0.198
