Name = NACA 2414
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.966	0.37265	-0.009	0.950	0.007	0.974	0.010	-2.592	0.214	0.240
-19.0	-0.980	0.33171	-0.010	0.946	0.007	0.972	0.010	-2.955	0.205	0.240
-18.0	-0.988	0.29642	-0.010	0.941	0.007	0.970	0.011	-3.332	0.098	0.240
-17.0	-0.987	0.26048	-0.011	0.937	0.008	0.967	0.012	-3.790	0.363	0.239
-16.0	-0.978	0.22596	-0.011	0.931	0.008	0.965	0.013	-4.326	0.295	0.238
-15.0	-0.958	0.19923	-0.012	0.922	0.009	0.963	0.014	-4.809	0.282	0.237
-14.0	-0.929	0.17479	-0.013	0.914	0.010	0.962	0.016	-5.313	0.274	0.236
-13.0	-0.889	0.15318	-0.014	0.907	0.011	0.959	0.018	-5.801	0.270	0.234
-12.0	-0.839	0.13475	-0.015	0.894	0.013	0.957	0.021	-6.223	0.266	0.232
-11.0	-0.779	0.11722	-0.016	0.882	0.015	0.952	0.023	-6.643	0.265	0.230
-10.0	-0.710	0.10191	-0.017	0.868	0.018	0.949	0.026	-6.970	0.265	0.226
-9.0	-0.634	0.08892	-0.018	0.850	0.020	0.946	0.030	-7.135	0.269	0.222
-8.0	-0.553	0.07783	-0.020	0.831	0.023	0.942	0.040	-7.101	0.274	0.214
-7.0	-0.466	0.06875	-0.022	0.806	0.030	0.939	0.058	-6.777	0.285	0.203
-6.0	-0.377	0.05982	-0.026	0.779	0.041	0.937	0.109	-6.309	0.382	0.181
-5.0	-0.329	0.03533	-0.040	0.748	0.062	0.934	0.819	-9.320	0.358	0.128
-4.0	-0.220	0.03288	-0.043	0.709	0.098	0.932	0.956	-6.698	0.269	0.056
-3.0	-0.101	0.03186	-0.044	0.663	0.166	0.932	0.972	-3.162	0.263	-0.191
-2.0	0.020	0.03121	-0.046	0.611	0.251	0.931	0.979	0.648	0.263	2.524
-1.0	0.142	0.03078	-0.048	0.549	0.484	0.932	0.972	4.598	0.263	0.586
0.0	0.261	0.03117	-0.049	0.479	0.576	0.932	0.973	8.360	0.263	0.438
1.0	0.380	0.03186	-0.051	0.429	0.671	0.921	0.970	11.916	0.262	0.383
2.0	0.497	0.03296	-0.052	0.398	0.754	0.897	0.966	15.064	0.261	0.354
3.0	0.611	0.03453	-0.053	0.364	0.815	0.868	0.964	17.693	0.261	0.337
4.0	0.722	0.03664	-0.054	0.325	0.857	0.834	0.964	19.709	0.261	0.325
5.0	0.831	0.03932	-0.055	0.272	0.886	0.805	0.965	21.132	0.262	0.317
6.0	0.938	0.04259	-0.057	0.202	0.909	0.788	0.967	22.016	0.264	0.311
7.0	1.044	0.04644	-0.058	0.091	0.923	0.789	0.971	22.478	0.262	0.306
8.0	1.129	0.05166	-0.059	0.038	0.935	0.721	0.975	21.857	0.196	0.302
9.0	1.137	0.06981	-0.053	0.028	0.943	0.384	0.977	16.282	3.320	0.297
10.0	1.122	0.09718	-0.036	0.019	0.952	0.045	0.979	11.542	-0.206	0.282
11.0	1.180	0.11159	-0.034	0.016	0.959	0.030	0.981	10.572	0.221	0.279
12.0	1.229	0.12834	-0.033	0.014	0.962	0.022	0.982	9.577	0.234	0.277
13.0	1.269	0.14518	-0.032	0.012	0.967	0.019	0.984	8.738	0.250	0.276
14.0	1.297	0.16804	-0.033	0.010	0.971	0.017	0.986	7.716	0.251	0.275
15.0	1.312	0.18958	-0.032	0.009	0.976	0.015	0.988	6.923	0.252	0.275
16.0	1.317	0.21859	-0.033	0.007	0.978	0.014	0.989	6.024	0.250	0.275
17.0	1.310	0.24797	-0.032	0.007	0.979	0.012	0.991	5.282	0.268	0.275
18.0	1.292	0.27940	-0.032	0.006	0.981	0.011	0.992	4.626	0.254	0.275
19.0	1.267	0.31971	-0.032	0.005	0.984	0.010	0.994	3.962	0.251	0.276
20.0	1.233	0.35637	-0.032	0.005	0.986	0.009	0.995	3.461	0.255	0.276

Name = NACA 2414
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.974	0.20877	-0.013	0.908	0.006	0.992	0.043	-4.665	0.206	0.237
-19.0	-0.989	0.18758	-0.013	0.894	0.006	0.992	0.046	-5.273	0.187	0.237
-18.0	-0.998	0.16822	-0.014	0.881	0.007	0.992	0.051	-5.931	0.063	0.236
-17.0	-1.000	0.14908	-0.015	0.866	0.007	0.992	0.062	-6.704	0.675	0.235
-16.0	-0.992	0.13234	-0.016	0.847	0.008	0.992	0.073	-7.498	0.378	0.233
-15.0	-0.978	0.11453	-0.018	0.826	0.008	0.992	0.096	-8.537	0.338	0.232
-14.0	-0.954	0.09903	-0.020	0.802	0.009	0.993	0.125	-9.632	0.325	0.229
-13.0	-0.924	0.08191	-0.022	0.772	0.010	0.993	0.177	-11.280	0.342	0.226
-12.0	-0.894	0.06224	-0.025	0.742	0.012	0.993	0.287	-14.367	0.419	0.222
-11.0	-0.878	0.03857	-0.030	0.708	0.014	0.993	0.537	-22.770	0.428	0.216
-10.0	-0.848	0.02534	-0.034	0.668	0.017	0.993	0.804	-33.450	0.308	0.210
-9.0	-0.774	0.02147	-0.036	0.625	0.019	0.993	0.919	-36.062	0.273	0.204
-8.0	-0.679	0.01940	-0.038	0.581	0.022	0.993	0.960	-34.983	0.266	0.195
-7.0	-0.571	0.01804	-0.039	0.534	0.026	0.992	0.976	-31.656	0.264	0.182
-6.0	-0.458	0.01290	-0.041	0.482	0.035	0.993	0.982	-35.479	0.263	0.161
-5.0	-0.341	0.01249	-0.042	0.434	0.045	0.992	0.988	-27.287	0.263	0.127
-4.0	-0.222	0.01315	-0.044	0.407	0.064	0.991	0.990	-16.864	0.263	0.053
-3.0	-0.101	0.01271	-0.045	0.381	0.090	0.991	0.992	-7.955	0.263	-0.196
-2.0	0.020	0.01253	-0.047	0.355	0.123	0.991	0.992	1.619	0.263	2.553
-1.0	0.142	0.01228	-0.048	0.326	0.162	0.990	0.994	11.574	0.263	0.590
0.0	0.264	0.01241	-0.050	0.296	0.205	0.990	0.994	21.238	0.263	0.439
1.0	0.385	0.01145	-0.052	0.259	0.253	0.988	0.995	33.627	0.263	0.384
2.0	0.505	0.01169	-0.053	0.222	0.309	0.985	0.996	43.242	0.263	0.355
3.0	0.625	0.01189	-0.055	0.183	0.425	0.982	0.997	52.577	0.264	0.338
4.0	0.744	0.01758	-0.056	0.141	0.483	0.978	0.997	42.301	0.264	0.326
5.0	0.859	0.01914	-0.058	0.099	0.533	0.971	0.998	44.896	0.264	0.317
6.0	0.972	0.02090	-0.060	0.062	0.593	0.961	0.998	46.488	0.264	0.311
7.0	1.078	0.02286	-0.061	0.039	0.661	0.947	0.998	47.162	0.264	0.307
8.0	1.179	0.02484	-0.062	0.030	0.733	0.929	0.998	47.461	0.264	0.303
9.0	1.272	0.02744	-0.064	0.020	0.797	0.904	0.998	46.352	0.264	0.300
10.0	1.351	0.03046	-0.065	0.017	0.841	0.872	0.997	44.344	0.265	0.298
11.0	1.413	0.03427	-0.066	0.014	0.875	0.827	0.997	41.227	0.265	0.297
12.0	1.458	0.03940	-0.067	0.012	0.900	0.770	0.998	36.997	0.263	0.296
13.0	1.483	0.04638	-0.067	0.011	0.916	0.698	0.998	31.974	0.246	0.295
14.0	1.486	0.05678	-0.066	0.009	0.933	0.605	0.998	26.178	0.361	0.295
15.0	1.468	0.07262	-0.065	0.007	0.940	0.492	0.998	20.216	0.314	0.294
16.0	1.437	0.09330	-0.063	0.007	0.950	0.379	0.998	15.396	0.319	0.294
17.0	1.389	0.12133	-0.060	0.006	0.959	0.257	0.998	11.451	0.326	0.293
18.0	1.345	0.14871	-0.056	0.005	0.963	0.172	0.997	9.041	0.319	0.292
19.0	1.302	0.17396	-0.054	0.005	0.968	0.123	0.997	7.487	0.305	0.291
20.0	1.259	0.19808	-0.052	0.004	0.975	0.092	0.997	6.356	0.298	0.291

Name = NACA 2414
Mach = 0; Re = 830000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.980	0.18897	-0.014	0.866	0.005	0.994	0.069	-5.187	0.195	0.236
-19.0	-0.997	0.17009	-0.015	0.847	0.005	0.994	0.078	-5.861	0.179	0.235
-18.0	-1.007	0.15159	-0.016	0.826	0.006	0.994	0.089	-6.642	0.084	0.234
-17.0	-1.010	0.13410	-0.017	0.802	0.006	0.993	0.103	-7.529	1.722	0.233
-16.0	-1.005	0.11673	-0.018	0.772	0.006	0.994	0.126	-8.611	0.464	0.232
-15.0	-0.995	0.09868	-0.020	0.743	0.007	0.994	0.166	-10.079	0.377	0.230
-14.0	-0.975	0.08218	-0.022	0.710	0.008	0.994	0.217	-11.867	0.364	0.227
-13.0	-0.954	0.06340	-0.025	0.670	0.008	0.994	0.314	-15.049	0.432	0.224
-12.0	-0.941	0.04170	-0.028	0.630	0.010	0.993	0.511	-22.563	0.468	0.220
-11.0	-0.921	0.02643	-0.032	0.591	0.012	0.993	0.759	-34.852	0.328	0.215
-10.0	-0.864	0.02124	-0.034	0.551	0.014	0.993	0.900	-40.700	0.279	0.210
-9.0	-0.779	0.01897	-0.036	0.505	0.017	0.993	0.951	-41.094	0.268	0.204
-8.0	-0.680	0.01749	-0.038	0.452	0.019	0.993	0.972	-38.888	0.265	0.195
-7.0	-0.572	0.01637	-0.039	0.418	0.022	0.993	0.981	-34.927	0.263	0.182
-6.0	-0.458	0.01171	-0.041	0.398	0.028	0.993	0.987	-39.121	0.263	0.161
-5.0	-0.341	0.01238	-0.042	0.368	0.037	0.993	0.990	-27.533	0.263	0.127
-4.0	-0.222	0.01195	-0.044	0.349	0.048	0.992	0.991	-18.554	0.263	0.053
-3.0	-0.101	0.01164	-0.045	0.317	0.066	0.992	0.992	-8.690	0.263	-0.197
-2.0	0.020	0.01144	-0.047	0.293	0.090	0.991	0.994	1.774	0.263	2.553
-1.0	0.142	0.01145	-0.048	0.258	0.120	0.991	0.994	12.421	0.263	0.590
0.0	0.264	0.01157	-0.050	0.225	0.153	0.990	0.995	22.787	0.263	0.439
1.0	0.385	0.01182	-0.052	0.194	0.188	0.990	0.996	32.562	0.263	0.384
2.0	0.506	0.01095	-0.053	0.161	0.227	0.988	0.997	46.204	0.263	0.355
3.0	0.626	0.01200	-0.055	0.126	0.269	0.985	0.997	52.142	0.264	0.338
4.0	0.744	0.01671	-0.056	0.090	0.318	0.981	0.998	44.534	0.264	0.326
5.0	0.861	0.01777	-0.058	0.061	0.408	0.977	0.998	48.429	0.264	0.317
6.0	0.973	0.01916	-0.060	0.041	0.469	0.968	0.998	50.773	0.264	0.311
7.0	1.081	0.02076	-0.061	0.030	0.511	0.958	0.998	52.055	0.264	0.307
8.0	1.182	0.02257	-0.063	0.021	0.560	0.943	0.998	52.387	0.265	0.303
9.0	1.277	0.02462	-0.064	0.017	0.617	0.924	0.998	51.853	0.265	0.300
10.0	1.358	0.02705	-0.065	0.014	0.682	0.898	0.998	50.218	0.267	0.298
11.0	1.423	0.03009	-0.066	0.011	0.751	0.863	0.998	47.313	0.268	0.297
12.0	1.472	0.03389	-0.067	0.010	0.805	0.818	0.998	43.448	0.269	0.296
13.0	1.502	0.03939	-0.068	0.008	0.848	0.758	0.998	38.125	0.267	0.295
14.0	1.511	0.04737	-0.068	0.007	0.880	0.680	0.998	31.888	0.436	0.295
15.0	1.500	0.05869	-0.068	0.006	0.906	0.589	0.998	25.555	0.289	0.295
16.0	1.472	0.07445	-0.067	0.005	0.920	0.488	0.998	19.775	0.288	0.295
17.0	1.434	0.09407	-0.065	0.004	0.936	0.394	0.998	15.247	0.289	0.295
18.0	1.389	0.11645	-0.063	0.004	0.945	0.310	0.998	11.926	0.292	0.296
19.0	1.338	0.14208	-0.061	0.004	0.956	0.235	0.998	9.414	0.292	0.296
20.0	1.286	0.16761	-0.059	0.004	0.961	0.179	0.998	7.671	0.290	0.296

Name = NACA 2414
Mach = 0; Re = 1230000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.985	0.17785	-0.015	0.821	0.005	0.994	0.087	-5.536	0.198	0.235
-19.0	-1.001	0.15979	-0.015	0.800	0.005	0.994	0.096	-6.266	0.180	0.235
-18.0	-1.012	0.14214	-0.017	0.767	0.005	0.994	0.111	-7.122	0.095	0.234
-17.0	-1.016	0.12577	-0.018	0.737	0.005	0.994	0.127	-8.075	-6.404	0.233
-16.0	-1.013	0.10850	-0.019	0.707	0.006	0.994	0.157	-9.334	0.555	0.231
-15.0	-1.004	0.09012	-0.021	0.667	0.007	0.994	0.208	-11.144	0.414	0.229
-14.0	-0.988	0.07329	-0.023	0.628	0.007	0.994	0.273	-13.484	0.395	0.227
-13.0	-0.971	0.05446	-0.026	0.591	0.007	0.994	0.391	-17.832	0.483	0.223
-12.0	-0.961	0.03440	-0.029	0.555	0.008	0.994	0.609	-27.944	0.420	0.219
-11.0	-0.933	0.02369	-0.032	0.510	0.010	0.994	0.817	-39.366	0.306	0.215
-10.0	-0.869	0.01975	-0.035	0.461	0.013	0.994	0.925	-43.994	0.275	0.210
-9.0	-0.781	0.01784	-0.036	0.423	0.015	0.994	0.961	-43.772	0.267	0.204
-8.0	-0.681	0.01646	-0.038	0.403	0.017	0.993	0.977	-41.377	0.264	0.195
-7.0	-0.572	0.01160	-0.039	0.375	0.020	0.993	0.984	-49.304	0.263	0.182
-6.0	-0.458	0.01115	-0.041	0.354	0.024	0.993	0.989	-41.084	0.263	0.161
-5.0	-0.341	0.01179	-0.042	0.330	0.032	0.993	0.991	-28.937	0.263	0.126
-4.0	-0.222	0.01144	-0.044	0.303	0.041	0.993	0.992	-19.387	0.263	0.053
-3.0	-0.101	0.01117	-0.045	0.273	0.055	0.992	0.993	-9.054	0.263	-0.197
-2.0	0.020	0.01103	-0.047	0.250	0.074	0.992	0.994	1.839	0.263	2.553
-1.0	0.142	0.01099	-0.048	0.216	0.099	0.991	0.995	12.938	0.263	0.590
0.0	0.264	0.01112	-0.050	0.186	0.127	0.991	0.996	23.705	0.263	0.439
1.0	0.385	0.01137	-0.052	0.158	0.156	0.990	0.997	33.856	0.263	0.384
2.0	0.506	0.01241	-0.053	0.127	0.188	0.990	0.997	40.755	0.263	0.355
3.0	0.626	0.01165	-0.055	0.096	0.224	0.987	0.998	53.735	0.264	0.338
4.0	0.744	0.01207	-0.056	0.069	0.263	0.983	0.998	61.697	0.264	0.326
5.0	0.861	0.01706	-0.058	0.048	0.306	0.979	0.998	50.450	0.264	0.317
6.0	0.974	0.01832	-0.060	0.033	0.363	0.972	0.998	53.163	0.264	0.311
7.0	1.082	0.01961	-0.061	0.025	0.451	0.963	0.998	55.161	0.265	0.307
8.0	1.184	0.02131	-0.063	0.018	0.480	0.951	0.998	55.571	0.265	0.303
9.0	1.280	0.02324	-0.064	0.014	0.520	0.935	0.998	55.060	0.266	0.300
10.0	1.362	0.02544	-0.066	0.012	0.567	0.911	0.998	53.531	0.267	0.298
11.0	1.429	0.02812	-0.067	0.010	0.622	0.881	0.998	50.798	0.269	0.297
12.0	1.479	0.03146	-0.068	0.009	0.683	0.841	0.998	47.017	0.271	0.296
13.0	1.510	0.03648	-0.068	0.007	0.750	0.784	0.998	41.389	0.272	0.295
14.0	1.521	0.04355	-0.069	0.005	0.803	0.711	0.998	34.920	0.290	0.295
15.0	1.514	0.05266	-0.069	0.005	0.847	0.633	0.999	28.758	0.273	0.295
16.0	1.490	0.06580	-0.068	0.004	0.880	0.542	0.999	22.642	0.277	0.296
17.0	1.453	0.08252	-0.067	0.004	0.906	0.453	0.999	17.613	0.280	0.296
18.0	1.407	0.10346	-0.065	0.004	0.922	0.367	0.998	13.601	0.281	0.297
19.0	1.356	0.12580	-0.064	0.003	0.937	0.294	0.998	10.782	0.284	0.297
20.0	1.300	0.15202	-0.062	0.003	0.946	0.226	0.998	8.554	0.287	0.298

Name = NACA 2414
Mach = 0; Re = 1630000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.987	0.17273	-0.015	0.775	0.005	0.995	0.096	-5.713	0.195	0.235
-19.0	-1.005	0.15356	-0.016	0.751	0.005	0.995	0.109	-6.542	0.179	0.234
-18.0	-1.016	0.13691	-0.017	0.714	0.005	0.995	0.124	-7.419	0.104	0.233
-17.0	-1.020	0.11971	-0.018	0.677	0.005	0.994	0.147	-8.524	-1.145	0.232
-16.0	-1.018	0.10349	-0.020	0.644	0.005	0.994	0.177	-9.833	0.647	0.231
-15.0	-1.012	0.08432	-0.022	0.609	0.006	0.994	0.238	-11.998	0.451	0.229
-14.0	-0.997	0.06750	-0.024	0.568	0.006	0.994	0.312	-14.770	0.448	0.226
-13.0	-0.986	0.04754	-0.027	0.529	0.007	0.994	0.459	-20.742	0.507	0.223
-12.0	-0.973	0.03071	-0.030	0.492	0.008	0.994	0.665	-31.689	0.374	0.219
-11.0	-0.938	0.02225	-0.033	0.446	0.009	0.994	0.847	-42.169	0.296	0.215
-10.0	-0.871	0.01892	-0.035	0.414	0.012	0.994	0.936	-46.036	0.273	0.210
