Name = NACA 1410
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.575	0.60158	-0.002	0.977	0.003	0.986	0.005	-0.955	0.244	0.246
-19.0	-0.621	0.51969	-0.002	0.977	0.004	0.985	0.005	-1.196	0.244	0.246
-18.0	-0.668	0.45708	-0.003	0.973	0.004	0.985	0.005	-1.462	0.244	0.246
-17.0	-0.713	0.36611	-0.003	0.971	0.004	0.984	0.005	-1.948	0.243	0.246
-16.0	-0.754	0.31601	-0.003	0.967	0.004	0.983	0.006	-2.386	0.242	0.246
-15.0	-0.787	0.27085	-0.004	0.964	0.004	0.982	0.006	-2.907	0.237	0.246
-14.0	-0.807	0.23420	-0.004	0.961	0.005	0.981	0.006	-3.446	0.206	0.245
-13.0	-0.804	0.19275	-0.004	0.959	0.005	0.980	0.007	-4.170	0.290	0.245
-12.0	-0.789	0.16242	-0.005	0.953	0.005	0.979	0.007	-4.856	0.268	0.244
-11.0	-0.761	0.13640	-0.005	0.945	0.006	0.978	0.008	-5.580	0.262	0.243
-10.0	-0.721	0.11556	-0.005	0.938	0.006	0.976	0.008	-6.237	0.260	0.242
-9.0	-0.668	0.09742	-0.006	0.930	0.007	0.974	0.009	-6.861	0.259	0.241
-8.0	-0.605	0.08275	-0.007	0.917	0.007	0.971	0.010	-7.312	0.260	0.239
-7.0	-0.533	0.07092	-0.007	0.906	0.009	0.968	0.014	-7.510	0.263	0.236
-6.0	-0.453	0.06192	-0.008	0.886	0.015	0.966	0.022	-7.315	0.265	0.231
-5.0	-0.368	0.05481	-0.010	0.864	0.021	0.965	0.036	-6.708	0.356	0.223
-4.0	-0.342	0.02537	-0.020	0.837	0.041	0.963	0.986	-13.483	0.331	0.191
-3.0	-0.227	0.02634	-0.021	0.800	0.202	0.962	0.989	-8.603	0.259	0.156
-2.0	-0.109	0.02421	-0.022	0.755	0.482	0.963	0.984	-4.516	0.259	0.046
-1.0	0.008	0.02728	-0.023	0.698	0.610	0.964	0.982	0.305	0.259	3.055
0.0	0.126	0.02733	-0.024	0.628	0.716	0.966	0.979	4.603	0.259	0.444
1.0	0.243	0.02776	-0.026	0.538	0.798	0.969	0.977	8.762	0.259	0.355
2.0	0.360	0.02868	-0.027	0.438	0.851	0.970	0.976	12.566	0.259	0.324
3.0	0.476	0.02987	-0.028	0.376	0.887	0.962	0.977	15.922	0.259	0.308
4.0	0.589	0.03165	-0.029	0.292	0.913	0.953	0.977	18.602	0.260	0.299
5.0	0.701	0.03381	-0.030	0.038	0.932	0.962	0.978	20.726	0.058	0.293
6.0	0.655	0.05920	-0.016	0.019	0.943	0.036	0.981	11.063	-0.253	0.274
7.0	0.731	0.06810	-0.015	0.012	0.954	0.020	0.982	10.729	0.236	0.270
8.0	0.799	0.07761	-0.014	0.008	0.961	0.013	0.984	10.295	0.239	0.267
9.0	0.857	0.09182	-0.013	0.006	0.966	0.009	0.986	9.339	0.245	0.266
10.0	0.904	0.10860	-0.013	0.005	0.971	0.007	0.988	8.327	0.251	0.265
11.0	0.938	0.12972	-0.014	0.005	0.977	0.007	0.990	7.231	0.260	0.264
