Name = NACA 1408
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.319	0.97607	-0.003	0.981	0.002	0.990	0.003	-0.327	0.247	0.241
-19.0	-0.356	0.79760	-0.003	0.981	0.002	0.989	0.002	-0.446	0.247	0.241
-18.0	-0.395	0.68597	-0.003	0.980	0.002	0.989	0.002	-0.576	0.247	0.242
-17.0	-0.438	0.57131	-0.003	0.978	0.001	0.989	0.002	-0.767	0.245	0.242
-16.0	-0.484	0.46564	-0.004	0.977	0.001	0.988	0.002	-1.039	0.244	0.243
-15.0	-0.530	0.38735	-0.004	0.976	0.002	0.987	0.003	-1.367	0.242	0.243
-14.0	-0.574	0.33476	-0.004	0.974	0.002	0.986	0.004	-1.714	0.241	0.242
-13.0	-0.612	0.25867	-0.005	0.971	0.003	0.985	0.004	-2.367	0.241	0.242
-12.0	-0.641	0.21164	-0.005	0.967	0.004	0.984	0.004	-3.029	0.233	0.242
-11.0	-0.655	0.17510	-0.005	0.963	0.004	0.983	0.005	-3.743	0.186	0.242
-10.0	-0.651	0.13852	-0.006	0.959	0.004	0.982	0.005	-4.703	0.270	0.241
-9.0	-0.621	0.11553	-0.006	0.952	0.005	0.981	0.006	-5.372	0.260	0.240
-8.0	-0.570	0.09455	-0.006	0.943	0.005	0.980	0.006	-6.034	0.258	0.239
-7.0	-0.508	0.07711	-0.007	0.935	0.006	0.978	0.008	-6.593	0.258	0.236
-6.0	-0.436	0.06472	-0.007	0.920	0.007	0.977	0.009	-6.737	0.258	0.233
-5.0	-0.356	0.05582	-0.008	0.905	0.008	0.976	0.011	-6.371	0.266	0.227
-4.0	-0.270	0.04949	-0.010	0.881	0.018	0.975	0.026	-5.463	0.353	0.213
-3.0	-0.223	0.02543	-0.022	0.852	0.044	0.973	0.994	-8.779	0.327	0.152
-2.0	-0.108	0.02438	-0.023	0.815	0.578	0.973	0.991	-4.443	0.257	0.041
-1.0	0.008	0.02344	-0.023	0.765	0.722	0.975	0.987	0.324	0.257	3.345
0.0	0.123	0.02375	-0.024	0.702	0.819	0.977	0.983	5.198	0.258	0.447
1.0	0.239	0.02630	-0.025	0.617	0.877	0.979	0.982	9.099	0.258	0.356
2.0	0.355	0.02341	-0.026	0.500	0.912	0.982	0.982	15.153	0.258	0.324
3.0	0.469	0.02844	-0.027	0.401	0.935	0.981	0.983	16.480	0.258	0.308
4.0	0.580	0.02566	-0.028	0.023	0.949	0.990	0.985	22.609	0.080	0.298
5.0	0.552	0.05120	-0.013	0.009	0.961	0.018	0.987	10.779	-0.087	0.273
6.0	0.629	0.06018	-0.012	0.007	0.967	0.009	0.990	10.447	0.240	0.269
7.0	0.697	0.07158	-0.012	0.006	0.975	0.007	0.991	9.742	0.249	0.266
8.0	0.755	0.08679	-0.012	0.005	0.978	0.006	0.991	8.695	0.251	0.265
9.0	0.798	0.10486	-0.012	0.004	0.981	0.006	0.992	7.615	0.250	0.265
10.0	0.828	0.13160	-0.012	0.004	0.984	0.005	0.993	6.288	0.254	0.264
11.0	0.829	0.16348	-0.012	0.003	0.987	0.005	0.994	5.069	0.239	0.264
12.0	0.803	0.20200	-0.012	0.003	0.990	0.004	0.995	3.975	0.249	0.265
13.0	0.761	0.24750	-0.012	0.003	0.991	0.004	0.997	3.074	0.248	0.266
14.0	0.708	0.29573	-0.012	0.002	0.993	0.004	0.997	2.393	0.248	0.267
15.0	0.649	0.36655	-0.012	0.002	0.994	0.003	0.998	1.769	0.253	0.269
16.0	0.588	0.44975	-0.012	0.001	0.996	0.002	0.998	1.307	0.254	0.270
17.0	0.529	0.51540	-0.012	0.001	0.997	0.002	0.997	1.026	0.249	0.272
18.0	0.474	0.63672	-0.012	0.001	0.997	0.002	0.997	0.744	0.249	0.275
19.0	0.423	0.77261	-0.012	0.001	0.998	0.002	0.998	0.548	0.245	0.278
20.0	0.378	0.88105	-0.012	0.001	0.997	0.002	0.998	0.429	0.242	0.282

Name = NACA 1408
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.320	0.35198	-0.004	0.968	0.001	0.992	0.011	-0.909	0.246	0.238
-19.0	-0.356	0.31870	-0.004	0.965	0.001	0.992	0.010	-1.118	0.246	0.239
-18.0	-0.396	0.28043	-0.004	0.962	0.001	0.993	0.009	-1.412	0.246	0.239
-17.0	-0.439	0.25022	-0.004	0.959	0.001	0.993	0.008	-1.754	0.245	0.240
-16.0	-0.484	0.20714	-0.005	0.951	0.001	0.994	0.008	-2.338	0.245	0.241
-15.0	-0.530	0.17821	-0.005	0.941	0.002	0.995	0.008	-2.976	0.245	0.241
-14.0	-0.574	0.15421	-0.005	0.934	0.002	0.995	0.008	-3.725	0.246	0.241
-13.0	-0.613	0.12594	-0.005	0.917	0.003	0.995	0.007	-4.865	0.247	0.242
-12.0	-0.641	0.10739	-0.005	0.903	0.004	0.996	0.006	-5.971	0.238	0.242
-11.0	-0.656	0.09014	-0.006	0.879	0.004	0.997	0.007	-7.273	0.178	0.241
-10.0	-0.652	0.07862	-0.006	0.849	0.004	1.000	0.007	-8.290	0.272	0.241
-9.0	-0.621	0.06688	-0.006	0.813	0.005	1.000	0.008	-9.284	0.262	0.240
-8.0	-0.571	0.05778	-0.007	0.770	0.005	1.000	0.009	-9.881	0.260	0.238
-7.0	-0.509	0.05006	-0.008	0.718	0.006	1.000	0.012	-10.165	0.699	0.235
-6.0	-0.543	0.01452	-0.019	0.660	0.007	1.000	0.994	-37.423	0.442	0.214
-5.0	-0.443	0.01403	-0.020	0.596	0.008	1.000	0.996	-31.575	0.258	0.204
-4.0	-0.336	0.01470	-0.021	0.527	0.018	1.000	0.997	-22.824	0.258	0.187
-3.0	-0.223	0.01420	-0.022	0.455	0.039	1.000	0.997	-15.735	0.258	0.152
-2.0	-0.108	0.01367	-0.023	0.406	0.097	1.000	0.998	-7.932	0.258	0.040
-1.0	0.008	0.01321	-0.024	0.363	0.179	1.000	0.998	0.576	0.258	3.361
0.0	0.124	0.01311	-0.025	0.317	0.256	1.000	0.998	9.461	0.258	0.448
1.0	0.240	0.01310	-0.025	0.261	0.342	1.000	0.998	18.339	0.258	0.356
2.0	0.356	0.01341	-0.026	0.195	0.464	1.000	0.998	26.541	0.258	0.324
3.0	0.471	0.01426	-0.027	0.114	0.533	1.000	0.998	33.002	0.258	0.308
4.0	0.581	0.01417	-0.028	0.023	0.615	0.996	0.999	41.015	0.258	0.298
5.0	0.686	0.01489	-0.029	0.009	0.709	0.995	0.999	46.095	0.259	0.292
6.0	0.783	0.01576	-0.030	0.007	0.797	0.993	0.999	49.693	0.260	0.288
7.0	0.868	0.01673	-0.031	0.006	0.858	0.991	0.998	51.895	0.871	0.285
8.0	0.755	0.05579	-0.013	0.005	0.902	0.010	0.998	13.539	0.512	0.267
