Name = NACA 0024
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.736	0.27018	0.035	0.911	0.034	0.952	0.078	-6.427	0.270	0.270
-19.0	-1.698	0.24405	0.035	0.906	0.037	0.948	0.087	-6.957	0.270	0.270
-18.0	-1.652	0.22064	0.034	0.895	0.041	0.945	0.096	-7.489	0.267	0.270
-17.0	-1.602	0.19825	0.033	0.885	0.046	0.941	0.111	-8.080	0.264	0.271
-16.0	-1.546	0.17746	0.032	0.875	0.050	0.938	0.130	-8.711	0.263	0.271
-15.0	-1.486	0.15775	0.031	0.862	0.056	0.935	0.155	-9.417	0.262	0.271
-14.0	-1.417	0.13986	0.031	0.847	0.062	0.930	0.186	-10.132	0.264	0.272
-13.0	-1.344	0.12350	0.030	0.833	0.072	0.924	0.220	-10.882	0.265	0.272
-12.0	-1.268	0.10849	0.028	0.811	0.082	0.921	0.262	-11.684	0.266	0.272
-11.0	-1.187	0.09498	0.027	0.792	0.094	0.915	0.309	-12.500	0.268	0.273
-10.0	-1.100	0.08377	0.025	0.764	0.111	0.912	0.354	-13.137	0.270	0.273
-9.0	-1.009	0.07405	0.023	0.734	0.128	0.909	0.403	-13.629	0.271	0.273
-8.0	-0.912	0.06615	0.021	0.702	0.150	0.905	0.450	-13.790	0.272	0.273
-7.0	-0.811	0.05948	0.019	0.663	0.173	0.902	0.500	-13.641	0.272	0.274
-6.0	-0.706	0.05413	0.017	0.622	0.198	0.897	0.550	-13.046	0.273	0.274
-5.0	-0.597	0.04982	0.014	0.580	0.225	0.892	0.601	-11.987	0.273	0.274
-4.0	-0.484	0.04649	0.012	0.537	0.254	0.884	0.652	-10.419	0.274	0.274
-3.0	-0.368	0.04404	0.009	0.497	0.284	0.874	0.700	-8.354	0.274	0.274
-2.0	-0.248	0.04234	0.006	0.457	0.315	0.858	0.744	-5.857	0.274	0.274
-1.0	-0.125	0.04128	0.003	0.418	0.348	0.840	0.782	-3.032	0.274	0.274
0.0	0.000	0.04075	-0.000	0.382	0.382	0.814	0.814	0.000	0.274	0.250
1.0	0.125	0.04128	-0.003	0.348	0.418	0.782	0.840	3.032	0.274	0.274
2.0	0.248	0.04234	-0.006	0.315	0.457	0.744	0.859	5.857	0.274	0.274
3.0	0.368	0.04403	-0.009	0.284	0.497	0.700	0.874	8.355	0.274	0.274
4.0	0.484	0.04648	-0.012	0.254	0.538	0.652	0.884	10.421	0.274	0.274
5.0	0.597	0.04982	-0.014	0.225	0.580	0.601	0.892	11.987	0.273	0.274
6.0	0.706	0.05412	-0.017	0.198	0.622	0.550	0.897	13.048	0.273	0.274
7.0	0.811	0.05947	-0.019	0.173	0.663	0.500	0.902	13.643	0.272	0.274
8.0	0.912	0.06613	-0.021	0.150	0.702	0.450	0.905	13.793	0.272	0.273
9.0	1.009	0.07403	-0.023	0.128	0.734	0.403	0.909	13.633	0.271	0.273
10.0	1.101	0.08381	-0.025	0.111	0.764	0.354	0.912	13.133	0.270	0.273
11.0	1.187	0.09498	-0.027	0.094	0.792	0.309	0.915	12.501	0.268	0.273
12.0	1.268	0.10849	-0.028	0.082	0.811	0.262	0.921	11.685	0.266	0.272
13.0	1.344	0.12350	-0.030	0.072	0.833	0.220	0.924	10.882	0.265	0.272
14.0	1.417	0.13985	-0.031	0.062	0.847	0.186	0.931	10.132	0.264	0.272
15.0	1.486	0.15775	-0.031	0.056	0.861	0.155	0.935	9.417	0.262	0.271
16.0	1.546	0.17746	-0.032	0.050	0.875	0.130	0.938	8.711	0.263	0.271
17.0	1.602	0.19825	-0.033	0.046	0.885	0.111	0.941	8.080	0.264	0.271
18.0	1.652	0.22064	-0.034	0.041	0.894	0.096	0.945	7.489	0.267	0.270
19.0	1.698	0.24405	-0.035	0.037	0.906	0.087	0.947	6.957	0.270	0.270
20.0	1.736	0.27018	-0.035	0.034	0.912	0.078	0.952	6.427	0.270	0.270

Name = NACA 0024
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.877	0.11802	0.050	0.843	0.025	0.990	0.409	-15.908	0.292	0.276
-19.0	-1.844	0.10422	0.048	0.825	0.027	0.991	0.439	-17.694	0.290	0.276
-18.0	-1.804	0.09133	0.047	0.804	0.028	0.991	0.472	-19.754	0.286	0.276
-17.0	-1.756	0.07971	0.045	0.780	0.031	0.990	0.507	-22.034	0.283	0.276
-16.0	-1.701	0.06930	0.043	0.755	0.033	0.990	0.545	-24.550	0.281	0.276
-15.0	-1.639	0.06009	0.042	0.721	0.037	0.990	0.586	-27.281	0.279	0.275
-14.0	-1.567	0.05197	0.040	0.689	0.042	0.990	0.629	-30.156	0.277	0.275
-13.0	-1.488	0.04523	0.037	0.656	0.047	0.990	0.671	-32.895	0.277	0.275
-12.0	-1.402	0.03966	0.035	0.617	0.052	0.990	0.712	-35.340	0.276	0.275
