Name = NACA 0021
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.612	0.28502	0.026	0.934	0.022	0.962	0.042	-5.656	0.272	0.266
-19.0	-1.582	0.25799	0.025	0.926	0.024	0.961	0.046	-6.134	0.269	0.266
-18.0	-1.546	0.23276	0.025	0.918	0.026	0.959	0.052	-6.642	0.265	0.266
-17.0	-1.503	0.20870	0.024	0.911	0.029	0.956	0.059	-7.200	0.264	0.266
-16.0	-1.453	0.18742	0.023	0.904	0.032	0.952	0.067	-7.751	0.260	0.266
-15.0	-1.398	0.16649	0.023	0.892	0.035	0.948	0.082	-8.396	0.258	0.266
-14.0	-1.337	0.14783	0.022	0.881	0.040	0.945	0.100	-9.044	0.258	0.267
-13.0	-1.272	0.13032	0.022	0.869	0.046	0.940	0.128	-9.763	0.256	0.267
-12.0	-1.206	0.11359	0.022	0.851	0.055	0.937	0.172	-10.614	0.255	0.268
-11.0	-1.139	0.09717	0.021	0.836	0.063	0.933	0.243	-11.725	0.258	0.269
-10.0	-1.064	0.08324	0.021	0.812	0.078	0.930	0.316	-12.782	0.262	0.269
-9.0	-0.986	0.07102	0.019	0.789	0.094	0.924	0.404	-13.879	0.266	0.270
-8.0	-0.897	0.06210	0.018	0.759	0.119	0.921	0.473	-14.437	0.268	0.270
-7.0	-0.802	0.05490	0.016	0.724	0.146	0.919	0.544	-14.609	0.269	0.270
-6.0	-0.701	0.04938	0.014	0.684	0.177	0.917	0.612	-14.194	0.270	0.270
-5.0	-0.594	0.04522	0.012	0.640	0.211	0.914	0.673	-13.138	0.270	0.270
-4.0	-0.482	0.04216	0.010	0.593	0.247	0.911	0.729	-11.443	0.270	0.270
-3.0	-0.366	0.03998	0.007	0.545	0.285	0.907	0.777	-9.161	0.270	0.270
-2.0	-0.247	0.03854	0.005	0.497	0.324	0.898	0.816	-6.399	0.270	0.270
-1.0	-0.124	0.03767	0.003	0.451	0.364	0.886	0.846	-3.299	0.270	0.270
0.0	0.000	0.03732	-0.000	0.407	0.407	0.870	0.870	0.000	0.270	0.250
1.0	0.124	0.03767	-0.003	0.364	0.451	0.846	0.886	3.299	0.270	0.270
2.0	0.247	0.03854	-0.005	0.324	0.497	0.816	0.898	6.399	0.270	0.270
3.0	0.366	0.03998	-0.007	0.285	0.545	0.777	0.907	9.161	0.270	0.270
4.0	0.482	0.04216	-0.010	0.247	0.593	0.729	0.911	11.443	0.270	0.270
5.0	0.594	0.04522	-0.012	0.211	0.640	0.673	0.914	13.138	0.270	0.270
6.0	0.701	0.04938	-0.014	0.177	0.684	0.612	0.917	14.194	0.270	0.270
7.0	0.802	0.05490	-0.016	0.146	0.724	0.544	0.919	14.609	0.269	0.270
8.0	0.897	0.06210	-0.018	0.119	0.759	0.473	0.921	14.437	0.268	0.270
9.0	0.986	0.07102	-0.019	0.094	0.789	0.404	0.924	13.879	0.266	0.270
10.0	1.064	0.08324	-0.021	0.078	0.812	0.316	0.930	12.782	0.262	0.269
11.0	1.139	0.09717	-0.021	0.063	0.836	0.243	0.933	11.725	0.258	0.269
12.0	1.206	0.11359	-0.022	0.055	0.851	0.172	0.937	10.614	0.255	0.268
13.0	1.272	0.13032	-0.022	0.046	0.869	0.128	0.940	9.763	0.256	0.267
14.0	1.337	0.14783	-0.022	0.040	0.881	0.100	0.945	9.044	0.258	0.267
15.0	1.398	0.16649	-0.023	0.035	0.892	0.082	0.948	8.396	0.258	0.266
16.0	1.453	0.18742	-0.023	0.032	0.904	0.067	0.952	7.751	0.260	0.266
17.0	1.503	0.20870	-0.024	0.029	0.911	0.059	0.956	7.200	0.264	0.266
18.0	1.546	0.23276	-0.025	0.026	0.918	0.052	0.959	6.642	0.265	0.266
19.0	1.582	0.25799	-0.025	0.024	0.926	0.046	0.961	6.134	0.269	0.266
20.0	1.612	0.28502	-0.026	0.022	0.934	0.042	0.962	5.656	0.272	0.266

Name = NACA 0021
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.729	0.13266	0.040	0.877	0.016	0.991	0.336	-13.036	0.296	0.273
-19.0	-1.711	0.11537	0.039	0.860	0.017	0.991	0.374	-14.827	0.291	0.273
-18.0	-1.684	0.09946	0.038	0.843	0.018	0.992	0.415	-16.937	0.285	0.272
-17.0	-1.651	0.08519	0.037	0.822	0.020	0.992	0.459	-19.379	0.281	0.272
-16.0	-1.611	0.07203	0.036	0.800	0.024	0.992	0.511	-22.371	0.278	0.272
-15.0	-1.563	0.06102	0.034	0.771	0.027	0.992	0.564	-25.613	0.277	0.272
-14.0	-1.506	0.05196	0.033	0.742	0.029	0.992	0.617	-28.978	0.276	0.272
-13.0	-1.440	0.04454	0.031	0.708	0.032	0.991	0.671	-32.320	0.275	0.272
-12.0	-1.365	0.03838	0.029	0.668	0.037	0.991	0.724	-35.563	0.274	0.271
-11.0	-1.282	0.03341	0.027	0.627	0.044	0.991	0.774	-38.360	0.273	0.271
-10.0	-1.188	0.02964	0.025	0.587	0.050	0.991	0.817	-40.068	0.272	0.271
-9.0	-1.086	0.02661	0.023	0.548	0.059	0.991	0.853	-40.826	0.272	0.271
-8.0	-0.979	0.02416	0.021	0.508	0.070	0.991	0.883	-40.517	0.272	0.271
-7.0	-0.866	0.02220	0.018	0.469	0.084	0.990	0.908	-39.012	0.271	0.271
-6.0	-0.749	0.01989	0.016	0.433	0.100	0.989	0.926	-37.636	0.271	0.271
-5.0	-0.628	0.01842	0.013	0.400	0.119	0.987	0.941	-34.108	0.271	0.271
-4.0	-0.505	0.01719	0.011	0.364	0.141	0.986	0.952	-29.390	0.271	0.271
-3.0	-0.380	0.01615	0.008	0.333	0.165	0.983	0.961	-23.553	0.271	0.271
-2.0	-0.254	0.01818	0.005	0.303	0.189	0.982	0.967	-13.990	0.271	0.271
-1.0	-0.127	0.01791	0.003	0.272	0.216	0.979	0.973	-7.119	0.271	0.271
0.0	0.000	0.01786	-0.000	0.245	0.245	0.977	0.977	0.000	0.271	0.250
1.0	0.127	0.01791	-0.003	0.216	0.272	0.973	0.979	7.119	0.271	0.271
2.0	0.254	0.01818	-0.005	0.189	0.303	0.967	0.982	13.990	0.271	0.271
3.0	0.380	0.01615	-0.008	0.165	0.333	0.961	0.983	23.553	0.271	0.271
4.0	0.505	0.01719	-0.011	0.141	0.364	0.952	0.986	29.390	0.271	0.271
5.0	0.628	0.01842	-0.013	0.119	0.400	0.941	0.987	34.108	0.271	0.271
