Name = NACA 0010
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.624	0.58260	0.007	0.983	0.003	0.991	0.004	-1.070	0.247	0.261
-19.0	-0.676	0.50452	0.007	0.982	0.003	0.991	0.005	-1.340	0.246	0.260
-18.0	-0.729	0.44030	0.006	0.981	0.004	0.991	0.005	-1.656	0.245	0.259
-17.0	-0.780	0.37065	0.006	0.979	0.004	0.990	0.005	-2.105	0.244	0.258
-16.0	-0.827	0.31580	0.006	0.978	0.004	0.990	0.005	-2.619	0.244	0.257
-15.0	-0.866	0.26646	0.006	0.977	0.004	0.989	0.006	-3.252	0.239	0.256
-14.0	-0.881	0.22488	0.005	0.974	0.004	0.987	0.006	-3.920	0.211	0.256
-13.0	-0.883	0.19171	0.005	0.969	0.004	0.986	0.006	-4.606	0.311	0.256
-12.0	-0.872	0.16124	0.005	0.966	0.005	0.984	0.006	-5.411	0.267	0.255
-11.0	-0.849	0.13552	0.004	0.962	0.005	0.983	0.007	-6.263	0.259	0.255
-10.0	-0.812	0.11174	0.004	0.958	0.006	0.981	0.008	-7.267	0.257	0.255
-9.0	-0.762	0.09477	0.004	0.950	0.006	0.980	0.009	-8.044	0.256	0.255
-8.0	-0.701	0.08080	0.003	0.941	0.007	0.978	0.010	-8.681	0.253	0.255
-7.0	-0.631	0.06974	0.003	0.932	0.010	0.977	0.017	-9.050	0.252	0.255
-6.0	-0.553	0.06050	0.003	0.917	0.017	0.975	0.024	-9.138	0.213	0.256
-5.0	-0.576	0.03212	0.005	0.900	0.022	0.972	0.962	-17.936	0.236	0.259
-4.0	-0.467	0.03097	0.004	0.875	0.157	0.970	0.978	-15.066	0.259	0.259
-3.0	-0.352	0.02922	0.003	0.843	0.332	0.969	0.978	-12.033	0.259	0.259
-2.0	-0.235	0.02803	0.002	0.800	0.457	0.969	0.979	-8.387	0.259	0.259
-1.0	-0.118	0.02744	0.001	0.742	0.573	0.972	0.977	-4.289	0.259	0.259
0.0	0.000	0.02723	-0.000	0.666	0.666	0.975	0.975	0.000	0.259	0.250
1.0	0.118	0.02744	-0.001	0.573	0.742	0.977	0.972	4.289	0.259	0.259
2.0	0.235	0.02803	-0.002	0.457	0.800	0.979	0.969	8.387	0.259	0.259
3.0	0.352	0.02922	-0.003	0.332	0.843	0.978	0.969	12.033	0.259	0.259
4.0	0.467	0.03097	-0.004	0.157	0.875	0.978	0.970	15.066	0.259	0.259
5.0	0.576	0.03212	-0.005	0.022	0.900	0.962	0.972	17.936	0.236	0.259
6.0	0.553	0.06050	-0.003	0.017	0.917	0.024	0.975	9.138	0.213	0.256
7.0	0.631	0.06974	-0.003	0.010	0.932	0.017	0.977	9.050	0.252	0.255
8.0	0.701	0.08080	-0.003	0.007	0.941	0.010	0.978	8.681	0.253	0.255
9.0	0.762	0.09477	-0.004	0.006	0.950	0.009	0.980	8.044	0.256	0.255
10.0	0.812	0.11174	-0.004	0.006	0.958	0.008	0.981	7.267	0.257	0.255
11.0	0.849	0.13552	-0.004	0.005	0.962	0.007	0.983	6.263	0.259	0.255
12.0	0.872	0.16124	-0.005	0.005	0.966	0.006	0.984	5.411	0.267	0.255
13.0	0.883	0.19171	-0.005	0.004	0.969	0.006	0.986	4.606	0.311	0.256
14.0	0.881	0.22488	-0.005	0.004	0.974	0.006	0.987	3.920	0.211	0.256
15.0	0.866	0.26646	-0.006	0.004	0.977	0.006	0.989	3.252	0.239	0.256
16.0	0.827	0.31580	-0.006	0.004	0.978	0.005	0.990	2.619	0.244	0.257
17.0	0.780	0.37065	-0.006	0.004	0.979	0.005	0.990	2.105	0.244	0.258
18.0	0.729	0.44030	-0.006	0.004	0.981	0.005	0.991	1.656	0.245	0.259
19.0	0.676	0.50452	-0.007	0.003	0.982	0.005	0.991	1.340	0.246	0.260
20.0	0.624	0.58260	-0.007	0.003	0.983	0.004	0.991	1.070	0.247	0.261

Name = NACA 0010
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
