NACA 0010
1.00000000	0.00000000
0.99726095	0.00032260
0.98907380	0.00128044
0.97552826	0.00284443
0.95677273	0.00496841
0.93301270	0.00759228
0.90450850	0.01064553
0.87157241	0.01405070
0.83456530	0.01772607
0.79389263	0.02158738
0.75000000	0.02554839
0.70336832	0.02952028
0.65450850	0.03341061
0.60395585	0.03712201
0.55226423	0.04055168
0.50000000	0.04359188
0.44773577	0.04613218
0.39604415	0.04806337
0.34549150	0.04928283
0.29663168	0.04970100
0.25000000	0.04924785
0.20610737	0.04787870
0.16543470	0.04557816
0.12842759	0.04236165
0.09549150	0.03827384
0.06698730	0.03338399
0.04322727	0.02777859
0.02447174	0.02155207
0.01092620	0.01479662
0.00273905	0.00759252
0.00000000	0.00000000
0.00273905	-0.00759252
0.01092620	-0.01479662
0.02447174	-0.02155207
0.04322727	-0.02777859
0.06698730	-0.03338399
0.09549150	-0.03827384
0.12842759	-0.04236165
0.16543470	-0.04557816
0.20610737	-0.04787870
0.25000000	-0.04924785
0.29663168	-0.04970100
0.34549150	-0.04928283
0.39604415	-0.04806337
0.44773577	-0.04613218
0.50000000	-0.04359188
0.55226423	-0.04055168
0.60395585	-0.03712201
0.65450850	-0.03341061
0.70336832	-0.02952028
0.75000000	-0.02554839
0.79389263	-0.02158738
0.83456530	-0.01772607
0.87157241	-0.01405070
0.90450850	-0.01064553
0.93301270	-0.00759228
0.95677273	-0.00496841
0.97552826	-0.00284443
0.98907380	-0.00128044
0.99726095	-0.00032260
1.00000000	0.00000000

