Name = NACA 1412
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.849	0.43057	-0.001	0.969	0.005	0.982	0.007	-1.972	0.239	0.249
-19.0	-0.880	0.38308	-0.001	0.966	0.005	0.982	0.007	-2.296	0.238	0.249
-18.0	-0.904	0.33557	-0.001	0.964	0.005	0.981	0.007	-2.693	0.233	0.248
-17.0	-0.922	0.29029	-0.002	0.961	0.005	0.979	0.007	-3.175	0.223	0.248
-16.0	-0.932	0.26043	-0.002	0.959	0.006	0.978	0.008	-3.577	0.174	0.248
-15.0	-0.932	0.21671	-0.003	0.953	0.006	0.977	0.009	-4.303	0.353	0.247
-14.0	-0.923	0.19066	-0.003	0.947	0.006	0.977	0.009	-4.841	0.280	0.247
-13.0	-0.902	0.16355	-0.004	0.941	0.006	0.975	0.010	-5.515	0.268	0.246
-12.0	-0.870	0.14131	-0.004	0.936	0.008	0.971	0.011	-6.154	0.265	0.245
-11.0	-0.826	0.12103	-0.005	0.926	0.009	0.969	0.013	-6.823	0.263	0.244
-10.0	-0.771	0.10452	-0.005	0.915	0.010	0.966	0.016	-7.379	0.263	0.243
-9.0	-0.707	0.09068	-0.006	0.905	0.013	0.964	0.020	-7.793	0.261	0.241
-8.0	-0.633	0.07906	-0.007	0.888	0.016	0.961	0.024	-8.010	0.262	0.239
-7.0	-0.553	0.06896	-0.008	0.873	0.020	0.959	0.032	-8.023	0.267	0.236
-6.0	-0.470	0.06022	-0.010	0.849	0.025	0.957	0.060	-7.798	0.357	0.229
-5.0	-0.459	0.03329	-0.018	0.821	0.043	0.955	0.941	-13.796	0.329	0.211
-4.0	-0.346	0.03177	-0.019	0.789	0.098	0.953	0.971	-10.903	0.262	0.194
-3.0	-0.229	0.03036	-0.021	0.747	0.228	0.952	0.978	-7.545	0.261	0.160
-2.0	-0.110	0.02933	-0.022	0.696	0.372	0.953	0.979	-3.759	0.261	0.051
-1.0	0.009	0.02892	-0.023	0.634	0.525	0.954	0.976	0.318	0.261	2.772
0.0	0.128	0.02898	-0.025	0.558	0.625	0.957	0.974	4.426	0.261	0.441
1.0	0.247	0.02940	-0.026	0.474	0.711	0.958	0.970	8.408	0.261	0.354
2.0	0.365	0.03026	-0.027	0.411	0.780	0.949	0.967	12.068	0.261	0.324
3.0	0.481	0.03150	-0.028	0.358	0.832	0.936	0.966	15.287	0.261	0.309
4.0	0.596	0.03324	-0.030	0.288	0.868	0.920	0.967	17.917	0.261	0.300
5.0	0.707	0.03561	-0.031	0.188	0.893	0.909	0.969	19.863	0.261	0.294
6.0	0.816	0.03816	-0.032	0.041	0.913	0.901	0.971	21.387	0.232	0.289
7.0	0.830	0.05198	-0.029	0.023	0.927	0.415	0.975	15.957	-0.446	0.284
8.0	0.837	0.07620	-0.018	0.018	0.938	0.032	0.977	10.979	0.100	0.271
9.0	0.906	0.08817	-0.017	0.014	0.946	0.022	0.979	10.270	0.245	0.269
10.0	0.966	0.10170	-0.017	0.011	0.955	0.019	0.980	9.500	0.249	0.268
11.0	1.016	0.11823	-0.017	0.009	0.960	0.015	0.982	8.593	0.244	0.267
12.0	1.053	0.13583	-0.017	0.007	0.964	0.011	0.984	7.756	0.243	0.266
13.0	1.079	0.15838	-0.017	0.006	0.969	0.010	0.986	6.813	0.255	0.265
14.0	1.092	0.18658	-0.017	0.006	0.973	0.009	0.987	5.854	0.281	0.265
15.0	1.093	0.21708	-0.017	0.005	0.977	0.008	0.988	5.036	0.230	0.266
16.0	1.083	0.25455	-0.017	0.005	0.978	0.007	0.990	4.255	0.241	0.266
17.0	1.063	0.29336	-0.017	0.005	0.979	0.007	0.991	3.625	0.235	0.266
18.0	1.036	0.32666	-0.018	0.005	0.982	0.007	0.991	3.171	0.239	0.267
19.0	1.001	0.38745	-0.018	0.005	0.983	0.006	0.992	2.585	0.241	0.268
20.0	0.963	0.44108	-0.018	0.004	0.986	0.006	0.992	2.182	0.239	0.269

Name = NACA 1412
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.851	0.22682	-0.001	0.942	0.005	0.992	0.018	-3.754	0.236	0.249
-19.0	-0.883	0.20771	-0.001	0.937	0.004	0.992	0.021	-4.250	0.234	0.248
-18.0	-0.907	0.18184	-0.002	0.926	0.005	0.993	0.021	-4.987	0.228	0.248
-17.0	-0.926	0.16588	-0.002	0.915	0.005	0.993	0.025	-5.580	0.215	0.248
-16.0	-0.936	0.14748	-0.003	0.905	0.005	0.993	0.026	-6.346	0.159	0.247
-15.0	-0.938	0.12764	-0.003	0.886	0.006	0.994	0.033	-7.350	0.526	0.246
-14.0	-0.931	0.11228	-0.004	0.870	0.006	0.994	0.044	-8.290	0.319	0.246
-13.0	-0.914	0.09800	-0.005	0.845	0.006	0.995	0.062	-9.324	0.307	0.244
