Name = NACA 0012
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.906	0.44044	0.009	0.978	0.004	0.988	0.006	-2.056	0.239	0.260
-19.0	-0.940	0.38842	0.008	0.977	0.005	0.987	0.006	-2.419	0.240	0.259
-18.0	-0.969	0.32756	0.008	0.974	0.005	0.986	0.007	-2.957	0.239	0.258
-17.0	-0.992	0.28108	0.008	0.971	0.005	0.985	0.007	-3.528	0.235	0.258
-16.0	-1.007	0.24864	0.008	0.967	0.005	0.983	0.008	-4.048	0.216	0.258
-15.0	-1.012	0.21710	0.007	0.964	0.005	0.982	0.008	-4.661	-10.705	0.257
-14.0	-1.007	0.18950	0.007	0.961	0.006	0.981	0.009	-5.312	0.277	0.257
-13.0	-0.990	0.16513	0.007	0.958	0.006	0.979	0.010	-5.994	0.262	0.257
-12.0	-0.961	0.13994	0.006	0.951	0.007	0.978	0.011	-6.867	0.258	0.257
-11.0	-0.920	0.12078	0.006	0.944	0.008	0.977	0.014	-7.618	0.256	0.256
-10.0	-0.868	0.10351	0.006	0.937	0.010	0.974	0.017	-8.387	0.255	0.257
-9.0	-0.806	0.09009	0.005	0.927	0.013	0.972	0.021	-8.943	0.255	0.257
-8.0	-0.734	0.07757	0.005	0.915	0.017	0.969	0.026	-9.465	0.254	0.257
-7.0	-0.656	0.06767	0.005	0.901	0.021	0.966	0.040	-9.699	0.206	0.257
-6.0	-0.678	0.03773	0.007	0.882	0.035	0.963	0.804	-17.970	0.226	0.261
-5.0	-0.586	0.03435	0.006	0.857	0.066	0.962	0.944	-17.056	0.261	0.261
-4.0	-0.472	0.03236	0.005	0.826	0.202	0.961	0.954	-14.595	0.261	0.261
-3.0	-0.356	0.03072	0.004	0.786	0.312	0.961	0.961	-11.591	0.261	0.261
-2.0	-0.238	0.02963	0.003	0.733	0.406	0.962	0.965	-8.037	0.261	0.261
