Name = NACA 2408
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.292	0.98818	-0.011	0.976	0.002	0.984	0.003	-0.296	0.253	0.213
-19.0	-0.324	0.80550	-0.011	0.974	0.002	0.983	0.003	-0.402	0.251	0.217
-18.0	-0.359	0.69723	-0.011	0.971	0.002	0.983	0.003	-0.515	0.247	0.220
-17.0	-0.396	0.57059	-0.011	0.969	0.002	0.982	0.003	-0.694	0.242	0.222
-16.0	-0.435	0.49057	-0.011	0.966	0.002	0.981	0.003	-0.887	0.239	0.224
-15.0	-0.474	0.38609	-0.012	0.964	0.002	0.981	0.003	-1.229	0.236	0.225
-14.0	-0.511	0.32647	-0.012	0.961	0.002	0.980	0.004	-1.566	0.231	0.226
-13.0	-0.543	0.27500	-0.013	0.959	0.003	0.980	0.005	-1.973	0.233	0.226
-12.0	-0.565	0.21510	-0.013	0.953	0.004	0.978	0.005	-2.624	0.225	0.226
-11.0	-0.573	0.17618	-0.014	0.946	0.004	0.978	0.005	-3.251	1.770	0.226
-10.0	-0.564	0.14591	-0.014	0.940	0.005	0.977	0.006	-3.864	0.273	0.224
-9.0	-0.534	0.11702	-0.015	0.932	0.005	0.975	0.006	-4.563	0.264	0.222
-8.0	-0.480	0.09575	-0.016	0.920	0.005	0.973	0.007	-5.018	0.262	0.218
-7.0	-0.415	0.08011	-0.016	0.908	0.006	0.970	0.008	-5.186	0.259	0.211
-6.0	-0.341	0.06630	-0.017	0.889	0.007	0.969	0.008	-5.142	0.260	0.201
-5.0	-0.259	0.05756	-0.018	0.870	0.007	0.967	0.010	-4.497	0.272	0.182
-4.0	-0.172	0.05060	-0.020	0.843	0.011	0.966	0.019	-3.395	0.314	0.131
-3.0	-0.082	0.04412	-0.029	0.810	0.024	0.965	0.097	-1.866	0.392	-0.101
-2.0	0.015	0.02520	-0.047	0.771	0.251	0.965	0.997	0.596	0.338	3.373
-1.0	0.131	0.02403	-0.048	0.722	0.813	0.966	0.987	5.456	0.257	0.614
0.0	0.246	0.02461	-0.049	0.661	0.891	0.967	0.984	10.007	0.258	0.447
1.0	0.362	0.02549	-0.050	0.582	0.929	0.970	0.984	14.198	0.258	0.387
2.0	0.478	0.02676	-0.051	0.463	0.949	0.977	0.987	17.847	0.258	0.356
3.0	0.590	0.02867	-0.051	0.406	0.962	0.968	0.990	20.594	0.257	0.337
