Name = NACA 4421
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.244	0.28561	-0.030	0.882	0.023	0.938	0.035	-4.356	0.281	0.226
-19.0	-1.208	0.25845	-0.031	0.875	0.024	0.934	0.037	-4.674	0.280	0.224
-18.0	-1.164	0.23256	-0.032	0.862	0.025	0.930	0.041	-5.005	0.277	0.222
-17.0	-1.112	0.20871	-0.034	0.850	0.026	0.926	0.044	-5.329	0.274	0.220
-16.0	-1.053	0.18687	-0.035	0.840	0.028	0.920	0.048	-5.634	0.270	0.217
-15.0	-0.983	0.16738	-0.036	0.824	0.031	0.917	0.051	-5.875	0.270	0.213
-14.0	-0.908	0.14998	-0.038	0.809	0.035	0.912	0.055	-6.056	0.273	0.208
-13.0	-0.829	0.13380	-0.040	0.794	0.037	0.908	0.063	-6.193	0.276	0.202
-12.0	-0.744	0.11911	-0.042	0.774	0.041	0.903	0.071	-6.250	0.275	0.194
-11.0	-0.656	0.10623	-0.044	0.756	0.045	0.896	0.081	-6.176	0.279	0.182
-10.0	-0.565	0.09436	-0.047	0.731	0.051	0.893	0.098	-5.984	0.282	0.166
-9.0	-0.470	0.08428	-0.050	0.709	0.060	0.886	0.116	-5.572	0.285	0.143
-8.0	-0.372	0.07508	-0.054	0.679	0.069	0.883	0.146	-4.958	0.292	0.105
-7.0	-0.272	0.06665	-0.059	0.650	0.081	0.878	0.189	-4.083	0.295	0.035
-6.0	-0.169	0.05953	-0.063	0.616	0.098	0.874	0.241	-2.836	0.298	-0.124
-5.0	-0.062	0.05305	-0.069	0.579	0.118	0.869	0.318	-1.173	0.322	-0.854
-4.0	0.051	0.04405	-0.079	0.538	0.140	0.865	0.561	1.156	0.328	1.803
