Name = NACA 6409
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.275	0.85549	-0.041	0.932	0.002	0.962	0.003	-0.321	0.221	0.101
-19.0	-0.295	0.69504	-0.041	0.926	0.002	0.961	0.003	-0.424	0.233	0.109
-18.0	-0.315	0.59614	-0.042	0.920	0.002	0.960	0.003	-0.528	0.220	0.118
-17.0	-0.333	0.51998	-0.043	0.914	0.002	0.959	0.004	-0.641	0.168	0.122
-16.0	-0.349	0.41995	-0.044	0.908	0.003	0.956	0.004	-0.831	0.145	0.123
-15.0	-0.361	0.34433	-0.045	0.898	0.003	0.954	0.005	-1.048	0.110	0.124
-14.0	-0.365	0.31565	-0.047	0.889	0.003	0.951	0.006	-1.158	-8.314	0.122
-13.0	-0.361	0.25395	-0.048	0.879	0.005	0.948	0.006	-1.421	0.327	0.117
-12.0	-0.345	0.20771	-0.048	0.867	0.005	0.945	0.006	-1.660	0.287	0.110
-11.0	-0.315	0.18016	-0.050	0.852	0.006	0.942	0.007	-1.747	0.275	0.093
-10.0	-0.270	0.14051	-0.050	0.840	0.006	0.939	0.007	-1.922	0.264	0.064
-9.0	-0.211	0.12001	-0.051	0.821	0.006	0.936	0.008	-1.755	0.264	0.008
-8.0	-0.137	0.10042	-0.052	0.804	0.006	0.933	0.008	-1.364	0.266	-0.130
-7.0	-0.056	0.08419	-0.053	0.782	0.008	0.929	0.009	-0.660	0.268	-0.712
-6.0	0.032	0.07289	-0.055	0.760	0.008	0.924	0.010	0.439	0.270	1.974
-5.0	0.124	0.06360	-0.057	0.733	0.009	0.922	0.012	1.947	0.276	0.710
-4.0	0.219	0.05746	-0.060	0.706	0.011	0.917	0.015	3.802	0.307	0.525
-3.0	0.315	0.05344	-0.068	0.670	0.019	0.915	0.026	5.899	0.332	0.465
-2.0	0.414	0.05055	-0.076	0.630	0.027	0.913	0.044	8.180	0.434	0.434
-1.0	0.535	0.04234	-0.108	0.579	0.063	0.915	0.248	12.636	0.463	0.453
0.0	0.735	0.03183	-0.145	0.499	0.129	0.926	0.998	23.104	0.369	0.447
1.0	0.850	0.03266	-0.146	0.435	0.988	0.923	0.993	26.023	0.258	0.422
2.0	0.960	0.03464	-0.146	0.419	0.991	0.900	0.996	27.703	0.255	0.403
3.0	1.066	0.03722	-0.147	0.404	0.994	0.866	0.997	28.628	0.251	0.388
4.0	1.167	0.03992	-0.147	0.389	0.998	0.822	0.998	29.227	0.246	0.376
5.0	1.257	0.04335	-0.146	0.371	0.998	0.767	0.998	28.987	0.237	0.366
6.0	1.330	0.04787	-0.145	0.355	0.998	0.693	0.998	27.775	0.282	0.359
7.0	1.464	0.05007	-0.153	0.014	0.998	0.868	0.998	29.247	1.524	0.354
8.0	1.264	0.07348	-0.060	0.005	0.998	0.008	0.998	17.199	0.855	0.298
9.0	1.307	0.08689	-0.057	0.004	0.998	0.006	0.999	15.040	0.187	0.294
10.0	1.334	0.10494	-0.056	0.003	0.998	0.005	0.998	12.711	0.172	0.292
11.0	1.343	0.12494	-0.055	0.003	0.998	0.004	0.998	10.752	-0.937	0.291
12.0	1.335	0.15367	-0.054	0.003	0.999	0.004	0.999	8.690	0.272	0.291
13.0	1.311	0.18539	-0.054	0.002	0.998	0.004	0.999	7.069	0.264	0.291
14.0	1.271	0.22020	-0.053	0.002	0.999	0.003	0.999	5.772	0.259	0.292
15.0	1.195	0.26113	-0.053	0.002	0.999	0.003	0.999	4.578	0.257	0.294
16.0	1.104	0.32741	-0.052	0.002	0.999	0.003	0.999	3.372	0.258	0.297
17.0	1.008	0.37332	-0.051	0.001	0.999	0.002	0.999	2.701	0.256	0.301
18.0	0.913	0.44978	-0.051	0.001	0.999	0.002	0.999	2.030	0.253	0.306
19.0	0.822	0.53283	-0.051	0.001	0.999	0.002	0.999	1.542	0.249	0.312
20.0	0.737	0.60992	-0.051	0.001	0.999	0.002	0.999	1.208	0.244	0.320

Name = NACA 6409
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.275	0.33793	-0.054	0.871	0.001	0.990	0.012	-0.814	0.266	0.056
-19.0	-0.295	0.30263	-0.053	0.854	0.002	0.990	0.011	-0.976	0.271	0.070
-18.0	-0.315	0.25697	-0.053	0.842	0.002	0.990	0.011	-1.226	0.256	0.083
-17.0	-0.334	0.22572	-0.053	0.822	0.002	0.990	0.011	-1.479	0.239	0.091
-16.0	-0.350	0.19125	-0.053	0.804	0.002	0.991	0.011	-1.829	0.250	0.098
-15.0	-0.361	0.17023	-0.053	0.783	0.003	0.991	0.010	-2.122	0.240	0.103
-14.0	-0.366	0.14723	-0.053	0.761	0.003	0.991	0.010	-2.485	12.604	0.105
-13.0	-0.361	0.12171	-0.052	0.735	0.004	0.991	0.009	-2.968	0.198	0.106
-12.0	-0.345	0.10584	-0.052	0.711	0.005	0.991	0.009	-3.259	0.266	0.099
-11.0	-0.315	0.09142	-0.053	0.680	0.006	0.991	0.009	-3.445	0.265	0.082
-10.0	-0.270	0.07814	-0.053	0.650	0.006	0.991	0.009	-3.458	0.267	0.053
-9.0	-0.211	0.06847	-0.055	0.615	0.006	0.991	0.010	-3.078	0.275	-0.010
-8.0	-0.137	0.05968	-0.057	0.573	0.006	0.991	0.012	-2.297	0.270	-0.163
-7.0	-0.056	0.05234	-0.058	0.526	0.008	0.991	0.013	-1.062	0.289	-0.790
-6.0	0.032	0.04669	-0.063	0.440	0.008	0.991	0.019	0.686	0.377	2.220
-5.0	0.125	0.04015	-0.081	0.421	0.009	0.991	0.062	3.123	0.578	0.894
-4.0	0.272	0.01306	-0.142	0.407	0.011	0.991	0.997	20.820	0.484	0.771
-3.0	0.391	0.01304	-0.143	0.395	0.019	0.991	0.998	30.015	0.260	0.615
-2.0	0.511	0.01312	-0.144	0.375	0.027	0.991	0.998	38.945	0.260	0.532
-1.0	0.629	0.01320	-0.145	0.362	0.050	0.991	0.998	47.697	0.261	0.481
0.0	0.745	0.01338	-0.147	0.351	0.090	0.990	0.998	55.672	0.261	0.447
1.0	0.861	0.01375	-0.148	0.335	0.134	0.990	0.998	62.674	0.261	0.422
2.0	0.977	0.01271	-0.149	0.309	0.195	0.988	0.999	76.846	0.261	0.403
3.0	1.092	0.01175	-0.151	0.287	0.980	0.986	0.997	92.892	0.262	0.388
4.0	1.205	0.01280	-0.152	0.255	0.989	0.982	0.998	94.198	0.262	0.376
5.0	1.312	0.01920	-0.153	0.215	0.998	0.978	0.998	68.330	0.262	0.367
6.0	1.407	0.02188	-0.154	0.153	0.998	0.967	0.998	64.327	0.261	0.360
7.0	1.487	0.02766	-0.155	0.013	0.997	0.945	0.998	53.767	0.262	0.354
8.0	1.554	0.03069	-0.156	0.005	0.998	0.929	0.998	50.628	0.267	0.351
9.0	1.602	0.03385	-0.157	0.004	0.998	0.909	0.999	47.316	0.272	0.348
10.0	1.627	0.03739	-0.158	0.003	0.998	0.885	0.998	43.516	0.292	0.347
11.0	1.628	0.04078	-0.158	0.003	0.998	0.851	0.998	39.918	0.582	0.347
12.0	1.336	0.09101	-0.062	0.003	0.999	0.007	0.999	14.684	0.558	0.296
13.0	1.312	0.10638	-0.061	0.002	0.998	0.007	0.999	12.329	0.273	0.297
14.0	1.272	0.12175	-0.060	0.002	0.999	0.006	0.999	10.446	0.253	0.297
15.0	1.196	0.14095	-0.061	0.002	0.998	0.006	0.999	8.487	0.252	0.301
16.0	1.105	0.16021	-0.060	0.001	0.999	0.005	0.999	6.896	0.256	0.304
17.0	1.009	0.18677	-0.060	0.001	0.999	0.005	0.999	5.402	0.255	0.309
18.0	0.914	0.20807	-0.059	0.001	0.999	0.004	0.999	4.391	0.231	0.314
19.0	0.823	0.24614	-0.063	0.001	0.999	0.006	0.999	3.342	0.212	0.327
20.0	0.738	0.28051	-0.065	0.001	0.999	0.007	0.999	2.629	0.222	0.339

Name = NACA 6409
Mach = 0; Re = 830000; T.U. = 1.0; T.L. = 1.0
