Name = NACA 2418
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.257	0.31064	-0.007	0.927	0.015	0.962	0.023	-4.047	0.309	0.245
-19.0	-1.246	0.27807	-0.007	0.920	0.016	0.960	0.024	-4.480	0.296	0.244
-18.0	-1.226	0.25177	-0.008	0.914	0.017	0.957	0.026	-4.869	0.282	0.243
-17.0	-1.197	0.22411	-0.009	0.908	0.017	0.953	0.027	-5.342	0.275	0.243
-16.0	-1.159	0.20044	-0.010	0.897	0.019	0.950	0.029	-5.784	0.273	0.242
-15.0	-1.113	0.17761	-0.011	0.886	0.020	0.947	0.034	-6.268	0.271	0.240
-14.0	-1.058	0.15617	-0.012	0.877	0.022	0.942	0.038	-6.776	0.269	0.239
-13.0	-0.995	0.13904	-0.013	0.862	0.025	0.940	0.043	-7.156	0.268	0.237
-12.0	-0.921	0.12292	-0.014	0.848	0.028	0.937	0.048	-7.494	0.269	0.235
-11.0	-0.843	0.10844	-0.016	0.832	0.033	0.932	0.060	-7.777	0.270	0.231
-10.0	-0.760	0.09574	-0.018	0.811	0.038	0.928	0.072	-7.942	0.274	0.227
-9.0	-0.676	0.08388	-0.020	0.790	0.044	0.923	0.102	-8.058	0.281	0.220
-8.0	-0.589	0.07318	-0.023	0.763	0.056	0.920	0.150	-8.049	0.290	0.211
-7.0	-0.504	0.06127	-0.027	0.734	0.069	0.916	0.257	-8.229	0.307	0.197
-6.0	-0.423	0.04788	-0.032	0.703	0.092	0.912	0.490	-8.845	0.307	0.174
-5.0	-0.330	0.03995	-0.037	0.664	0.122	0.910	0.723	-8.254	0.288	0.138
-4.0	-0.219	0.03681	-0.040	0.620	0.160	0.909	0.853	-5.941	0.275	0.067
-3.0	-0.099	0.03541	-0.043	0.572	0.206	0.907	0.910	-2.787	0.270	-0.181
-2.0	0.025	0.03473	-0.045	0.520	0.257	0.904	0.937	0.706	0.268	2.077
-1.0	0.149	0.03453	-0.047	0.466	0.324	0.898	0.951	4.316	0.267	0.566
0.0	0.269	0.03497	-0.049	0.429	0.468	0.882	0.942	7.704	0.266	0.431
1.0	0.389	0.03580	-0.051	0.403	0.530	0.852	0.949	10.869	0.265	0.380
2.0	0.507	0.03711	-0.052	0.375	0.595	0.819	0.952	13.653	0.264	0.354
3.0	0.621	0.03896	-0.054	0.348	0.665	0.776	0.952	15.928	0.264	0.337
4.0	0.733	0.04135	-0.056	0.311	0.730	0.742	0.949	17.726	0.264	0.326
5.0	0.842	0.04439	-0.057	0.272	0.783	0.708	0.947	18.979	0.264	0.318
6.0	0.949	0.04814	-0.059	0.230	0.822	0.674	0.948	19.702	0.265	0.312
7.0	1.051	0.05279	-0.060	0.185	0.852	0.642	0.951	19.907	0.265	0.307
8.0	1.148	0.05846	-0.062	0.136	0.875	0.608	0.955	19.644	0.264	0.304
9.0	1.240	0.06539	-0.063	0.089	0.892	0.569	0.959	18.955	0.259	0.301
10.0	1.313	0.07523	-0.063	0.061	0.907	0.496	0.961	17.451	0.240	0.298
11.0	1.363	0.09044	-0.062	0.048	0.917	0.375	0.964	15.070	0.178	0.295
12.0	1.393	0.11161	-0.058	0.036	0.929	0.226	0.967	12.479	0.052	0.291
13.0	1.420	0.13475	-0.051	0.030	0.937	0.103	0.970	10.535	0.107	0.286
14.0	1.466	0.15416	-0.047	0.026	0.942	0.062	0.973	9.509	0.207	0.282
15.0	1.514	0.17438	-0.047	0.021	0.948	0.051	0.976	8.683	0.230	0.281
16.0	1.554	0.19604	-0.045	0.018	0.956	0.040	0.977	7.928	0.228	0.279
17.0	1.580	0.21953	-0.045	0.016	0.958	0.034	0.979	7.196	0.243	0.279
18.0	1.595	0.24772	-0.045	0.015	0.962	0.030	0.980	6.439	0.239	0.278
19.0	1.600	0.27559	-0.045	0.014	0.965	0.026	0.982	5.806	-0.126	0.278
20.0	1.596	0.30702	-0.045	0.012	0.969	0.023	0.983	5.198	0.276	0.278

Name = NACA 2418
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.296	0.16977	-0.010	0.866	0.011	0.991	0.147	-7.634	0.451	0.243
-19.0	-1.290	0.14988	-0.011	0.849	0.013	0.991	0.167	-8.608	0.386	0.242
-18.0	-1.278	0.13100	-0.012	0.835	0.014	0.991	0.195	-9.752	0.332	0.241
-17.0	-1.256	0.11393	-0.014	0.811	0.015	0.991	0.226	-11.025	0.313	0.239
-16.0	-1.229	0.09681	-0.015	0.791	0.016	0.991	0.270	-12.691	0.308	0.238
-15.0	-1.195	0.07996	-0.017	0.763	0.017	0.991	0.329	-14.940	0.306	0.236
-14.0	-1.156	0.06370	-0.019	0.735	0.019	0.992	0.412	-18.149	0.304	0.233
-13.0	-1.111	0.04952	-0.022	0.707	0.021	0.991	0.515	-22.436	0.296	0.231
-12.0	-1.052	0.03853	-0.024	0.670	0.023	0.991	0.625	-27.309	0.289	0.227
-11.0	-0.984	0.03044	-0.027	0.633	0.027	0.991	0.738	-32.331	0.282	0.223
-10.0	-0.901	0.02562	-0.029	0.596	0.031	0.991	0.828	-35.185	0.276	0.218
-9.0	-0.805	0.02260	-0.031	0.558	0.036	0.990	0.889	-35.633	0.272	0.211
-8.0	-0.699	0.02060	-0.033	0.514	0.042	0.991	0.926	-33.931	0.269	0.202
-7.0	-0.586	0.01911	-0.035	0.467	0.051	0.990	0.949	-30.665	0.268	0.189
-6.0	-0.468	0.01712	-0.038	0.431	0.062	0.990	0.963	-27.337	0.268	0.170
-5.0	-0.347	0.01601	-0.040	0.407	0.077	0.988	0.973	-21.683	0.267	0.136
-4.0	-0.224	0.01502	-0.042	0.384	0.096	0.987	0.979	-14.940	0.267	0.064
-3.0	-0.100	0.01100	-0.044	0.359	0.120	0.985	0.983	-9.109	0.267	-0.188
-2.0	0.025	0.01077	-0.046	0.337	0.147	0.983	0.986	2.302	0.267	2.109
-1.0	0.150	0.01493	-0.048	0.307	0.177	0.981	0.989	10.054	0.267	0.571
0.0	0.275	0.01527	-0.050	0.279	0.210	0.979	0.990	17.984	0.267	0.433
1.0	0.399	0.01587	-0.053	0.252	0.244	0.976	0.991	25.152	0.268	0.382
2.0	0.523	0.01654	-0.055	0.220	0.284	0.971	0.991	31.588	0.268	0.355
3.0	0.645	0.01744	-0.057	0.190	0.328	0.965	0.992	37.001	0.268	0.338
4.0	0.766	0.01845	-0.059	0.161	0.401	0.958	0.993	41.534	0.268	0.327
