Name = NACA 0018
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.424	0.30616	0.019	0.949	0.014	0.974	0.022	-4.650	0.396	0.263
-19.0	-1.420	0.27652	0.018	0.945	0.015	0.971	0.024	-5.135	0.311	0.263
-18.0	-1.408	0.24901	0.018	0.940	0.016	0.968	0.027	-5.653	0.277	0.263
-17.0	-1.386	0.22179	0.017	0.935	0.017	0.966	0.030	-6.249	0.268	0.262
-16.0	-1.355	0.19679	0.017	0.928	0.018	0.964	0.035	-6.885	0.264	0.262
-15.0	-1.314	0.17587	0.016	0.919	0.020	0.962	0.039	-7.472	0.262	0.262
-14.0	-1.261	0.15586	0.016	0.911	0.023	0.960	0.045	-8.089	0.259	0.262
-13.0	-1.199	0.13745	0.015	0.903	0.027	0.956	0.055	-8.725	0.257	0.263
-12.0	-1.132	0.12119	0.015	0.889	0.032	0.952	0.068	-9.341	0.254	0.263
-11.0	-1.063	0.10590	0.015	0.877	0.037	0.948	0.099	-10.041	0.248	0.264
-10.0	-1.000	0.08965	0.015	0.859	0.044	0.945	0.179	-11.151	0.246	0.265
-9.0	-0.939	0.07336	0.015	0.840	0.058	0.941	0.311	-12.804	0.252	0.266
-8.0	-0.876	0.05906	0.015	0.816	0.078	0.939	0.479	-14.836	0.261	0.267
-7.0	-0.794	0.05026	0.013	0.789	0.108	0.935	0.606	-15.798	0.265	0.267
-6.0	-0.698	0.04468	0.012	0.754	0.147	0.934	0.697	-15.621	0.267	0.267
-5.0	-0.593	0.04089	0.010	0.712	0.192	0.933	0.764	-14.497	0.267	0.267
-4.0	-0.481	0.03825	0.008	0.665	0.239	0.932	0.816	-12.573	0.267	0.267
-3.0	-0.364	0.03640	0.006	0.611	0.288	0.931	0.853	-10.010	0.267	0.267
-2.0	-0.245	0.03519	0.004	0.555	0.338	0.928	0.881	-6.955	0.267	0.267
-1.0	-0.123	0.03446	0.002	0.498	0.389	0.922	0.901	-3.570	0.267	0.267
0.0	-0.000	0.03420	-0.000	0.443	0.443	0.914	0.914	-0.000	0.267	0.250
1.0	0.123	0.03446	-0.002	0.389	0.498	0.901	0.922	3.570	0.267	0.267
2.0	0.245	0.03519	-0.004	0.338	0.555	0.881	0.928	6.955	0.267	0.267
3.0	0.364	0.03640	-0.006	0.288	0.611	0.853	0.931	10.010	0.267	0.267
4.0	0.481	0.03825	-0.008	0.239	0.665	0.816	0.932	12.573	0.267	0.267
5.0	0.593	0.04089	-0.010	0.192	0.712	0.764	0.933	14.497	0.267	0.267
6.0	0.698	0.04468	-0.012	0.147	0.754	0.697	0.934	15.621	0.267	0.267
7.0	0.794	0.05026	-0.013	0.108	0.789	0.606	0.935	15.798	0.265	0.267
8.0	0.876	0.05906	-0.015	0.078	0.816	0.479	0.939	14.836	0.261	0.267
9.0	0.939	0.07336	-0.015	0.058	0.840	0.311	0.941	12.804	0.252	0.266
10.0	1.000	0.08965	-0.015	0.044	0.859	0.179	0.945	11.151	0.246	0.265
11.0	1.063	0.10590	-0.015	0.037	0.877	0.099	0.948	10.041	0.248	0.264
12.0	1.132	0.12119	-0.015	0.032	0.889	0.068	0.952	9.341	0.254	0.263
13.0	1.199	0.13745	-0.015	0.027	0.903	0.055	0.956	8.725	0.257	0.263
14.0	1.261	0.15586	-0.016	0.023	0.911	0.045	0.960	8.089	0.259	0.262
15.0	1.314	0.17587	-0.016	0.020	0.919	0.039	0.962	7.472	0.262	0.262
16.0	1.355	0.19679	-0.017	0.018	0.928	0.035	0.964	6.885	0.264	0.262
17.0	1.386	0.22179	-0.017	0.017	0.935	0.030	0.966	6.249	0.268	0.262
18.0	1.408	0.24901	-0.018	0.016	0.940	0.027	0.968	5.653	0.277	0.263
19.0	1.420	0.27652	-0.018	0.015	0.945	0.024	0.971	5.135	0.311	0.263
20.0	1.424	0.30616	-0.019	0.014	0.949	0.022	0.974	4.650	0.396	0.263

Name = NACA 0018
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.497	0.15552	0.030	0.908	0.012	0.992	0.228	-9.623	0.213	0.270
-19.0	-1.506	0.13473	0.029	0.894	0.012	0.993	0.267	-11.176	0.179	0.270
-18.0	-1.507	0.11543	0.029	0.881	0.013	0.993	0.312	-13.060	0.544	0.269
-17.0	-1.503	0.09677	0.029	0.866	0.014	0.993	0.370	-15.528	0.308	0.269
-16.0	-1.489	0.08022	0.028	0.845	0.015	0.993	0.434	-18.559	0.287	0.269
-15.0	-1.465	0.06618	0.027	0.822	0.016	0.993	0.503	-22.136	0.278	0.269
-14.0	-1.427	0.05427	0.026	0.798	0.018	0.993	0.578	-26.291	0.273	0.268
-13.0	-1.377	0.04473	0.025	0.763	0.021	0.993	0.655	-30.778	0.272	0.268
-12.0	-1.316	0.03725	0.024	0.727	0.025	0.993	0.729	-35.332	0.271	0.268
-11.0	-1.243	0.03210	0.022	0.687	0.029	0.993	0.792	-38.717	0.270	0.268
-10.0	-1.158	0.02829	0.021	0.644	0.034	0.993	0.842	-40.935	0.270	0.268
-9.0	-1.064	0.02544	0.019	0.600	0.039	0.993	0.881	-41.814	0.269	0.268
-8.0	-0.961	0.02306	0.017	0.556	0.049	0.992	0.912	-41.667	0.268	0.268
-7.0	-0.851	0.02117	0.015	0.510	0.061	0.992	0.934	-40.178	0.268	0.267
-6.0	-0.736	0.01951	0.013	0.467	0.078	0.991	0.950	-37.699	0.268	0.267
-5.0	-0.617	0.01819	0.011	0.426	0.098	0.991	0.961	-33.936	0.268	0.267
-4.0	-0.496	0.01707	0.009	0.389	0.123	0.991	0.969	-29.071	0.267	0.267
-3.0	-0.374	0.01619	0.006	0.352	0.151	0.990	0.976	-23.075	0.267	0.267
-2.0	-0.250	0.01549	0.004	0.315	0.182	0.989	0.979	-16.116	0.267	0.267
-1.0	-0.125	0.01081	0.002	0.280	0.215	0.987	0.982	-11.566	0.267	0.267
0.0	-0.000	0.01072	-0.000	0.248	0.248	0.985	0.985	-0.000	0.267	0.250
1.0	0.125	0.01081	-0.002	0.215	0.280	0.982	0.987	11.566	0.267	0.267
2.0	0.250	0.01549	-0.004	0.182	0.315	0.979	0.989	16.116	0.267	0.267
3.0	0.374	0.01619	-0.006	0.151	0.352	0.976	0.990	23.075	0.267	0.267
4.0	0.496	0.01707	-0.009	0.123	0.389	0.969	0.991	29.071	0.267	0.267
5.0	0.617	0.01819	-0.011	0.098	0.426	0.961	0.991	33.936	0.268	0.267
6.0	0.736	0.01951	-0.013	0.078	0.467	0.950	0.991	37.699	0.268	0.267
7.0	0.851	0.02117	-0.015	0.061	0.510	0.934	0.992	40.178	0.268	0.267
8.0	0.961	0.02306	-0.017	0.049	0.556	0.912	0.992	41.667	0.268	0.268
9.0	1.064	0.02544	-0.019	0.039	0.600	0.881	0.993	41.814	0.269	0.268
10.0	1.158	0.02829	-0.021	0.034	0.644	0.842	0.993	40.935	0.270	0.268
11.0	1.243	0.03210	-0.022	0.029	0.687	0.792	0.993	38.717	0.270	0.268
12.0	1.316	0.03725	-0.024	0.025	0.727	0.729	0.993	35.332	0.271	0.268
13.0	1.377	0.04473	-0.025	0.021	0.763	0.655	0.993	30.778	0.272	0.268
14.0	1.427	0.05427	-0.026	0.018	0.798	0.578	0.993	26.291	0.273	0.268
15.0	1.465	0.06618	-0.027	0.016	0.822	0.503	0.993	22.136	0.278	0.269
16.0	1.489	0.08022	-0.028	0.015	0.845	0.434	0.993	18.559	0.287	0.269
17.0	1.503	0.09677	-0.029	0.014	0.866	0.370	0.993	15.528	0.308	0.269
18.0	1.507	0.11543	-0.029	0.013	0.881	0.312	0.993	13.060	0.544	0.269
19.0	1.506	0.13473	-0.029	0.012	0.894	0.267	0.993	11.176	0.179	0.270
20.0	1.497	0.15552	-0.030	0.012	0.908	0.228	0.992	9.623	0.213	0.270

Name = NACA 0018
Mach = 0; Re = 830000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.517	0.13552	0.031	0.871	0.009	0.995	0.285	-11.192	0.226	0.271
-19.0	-1.530	0.11433	0.031	0.848	0.010	0.996	0.336	-13.384	0.202	0.270
-18.0	-1.534	0.09600	0.030	0.827	0.011	0.995	0.389	-15.983	1.776	0.270
-17.0	-1.529	0.08002	0.030	0.801	0.012	0.995	0.447	-19.112	0.324	0.269
-16.0	-1.515	0.06633	0.029	0.768	0.013	0.995	0.510	-22.831	0.294	0.269
-15.0	-1.489	0.05461	0.028	0.734	0.014	0.995	0.578	-27.271	0.281	0.269
-14.0	-1.448	0.04539	0.027	0.698	0.015	0.995	0.646	-31.905	0.275	0.268
-13.0	-1.394	0.03798	0.026	0.657	0.017	0.994	0.714	-36.716	0.273	0.268
-12.0	-1.330	0.03232	0.024	0.613	0.019	0.994	0.778	-41.136	0.272	0.268
-11.0	-1.254	0.02809	0.022	0.569	0.023	0.994	0.832	-44.630	0.270	0.268
-10.0	-1.166	0.02505	0.021	0.528	0.027	0.993	0.874	-46.541	0.270	0.268
