Name = NACA 2412
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.783	0.44795	-0.010	0.960	0.005	0.978	0.007	-1.749	0.244	0.237
-19.0	-0.820	0.39480	-0.011	0.958	0.005	0.977	0.007	-2.078	0.240	0.237
-18.0	-0.841	0.33729	-0.011	0.955	0.005	0.976	0.007	-2.492	0.222	0.237
-17.0	-0.854	0.28781	-0.012	0.949	0.006	0.975	0.008	-2.966	0.200	0.236
-16.0	-0.859	0.26781	-0.012	0.943	0.006	0.973	0.008	-3.206	-0.435	0.236
-15.0	-0.855	0.22045	-0.012	0.939	0.007	0.971	0.009	-3.877	0.311	0.236
-14.0	-0.841	0.19192	-0.013	0.934	0.007	0.968	0.009	-4.381	0.282	0.235
-13.0	-0.816	0.16947	-0.014	0.925	0.007	0.966	0.010	-4.815	0.269	0.233
-12.0	-0.780	0.14515	-0.014	0.915	0.007	0.964	0.011	-5.372	0.265	0.232
-11.0	-0.733	0.12515	-0.015	0.907	0.008	0.961	0.012	-5.855	0.267	0.230
-10.0	-0.675	0.10681	-0.016	0.893	0.009	0.960	0.015	-6.323	0.268	0.226
-9.0	-0.608	0.09166	-0.017	0.879	0.012	0.958	0.018	-6.638	0.267	0.222
-8.0	-0.533	0.08086	-0.018	0.862	0.015	0.954	0.023	-6.596	0.265	0.216
-7.0	-0.451	0.07061	-0.020	0.842	0.018	0.949	0.027	-6.393	0.270	0.207
-6.0	-0.365	0.06217	-0.022	0.817	0.023	0.947	0.040	-5.866	0.289	0.190
-5.0	-0.276	0.05431	-0.026	0.789	0.037	0.944	0.090	-5.082	0.401	0.154
-4.0	-0.219	0.03115	-0.044	0.755	0.062	0.943	0.976	-7.034	0.357	0.050
-3.0	-0.101	0.02596	-0.045	0.713	0.130	0.942	0.985	-3.894	0.261	-0.196
-2.0	0.018	0.02585	-0.046	0.664	0.250	0.942	0.989	0.707	0.261	2.788
-1.0	0.138	0.02902	-0.048	0.605	0.555	0.943	0.981	4.755	0.261	0.595
0.0	0.256	0.02937	-0.049	0.531	0.669	0.945	0.979	8.708	0.261	0.442
1.0	0.374	0.03006	-0.050	0.448	0.769	0.947	0.976	12.455	0.260	0.384
2.0	0.491	0.03115	-0.051	0.412	0.837	0.931	0.972	15.765	0.260	0.355
3.0	0.605	0.03262	-0.053	0.375	0.879	0.908	0.972	18.551	0.259	0.337
4.0	0.716	0.03461	-0.054	0.335	0.907	0.877	0.974	20.685	0.260	0.325
5.0	0.824	0.03711	-0.055	0.272	0.926	0.855	0.976	22.200	0.262	0.316
6.0	0.933	0.04027	-0.056	0.160	0.939	0.858	0.978	23.161	0.262	0.310
7.0	1.032	0.04368	-0.057	0.034	0.949	0.837	0.981	23.625	-2.350	0.305
8.0	0.942	0.07491	-0.033	0.019	0.958	0.046	0.982	12.569	1.328	0.285
9.0	1.006	0.08575	-0.029	0.015	0.963	0.024	0.984	11.733	0.218	0.279
10.0	1.065	0.09944	-0.029	0.011	0.968	0.019	0.987	10.709	0.238	0.277
11.0	1.112	0.11498	-0.028	0.009	0.974	0.015	0.989	9.673	0.233	0.275
12.0	1.147	0.13352	-0.027	0.007	0.978	0.012	0.990	8.593	0.229	0.274
13.0	1.170	0.15615	-0.027	0.006	0.979	0.010	0.991	7.490	0.216	0.273
14.0	1.179	0.18018	-0.026	0.005	0.982	0.008	0.992	6.543	0.215	0.272
15.0	1.176	0.21524	-0.027	0.005	0.984	0.008	0.994	5.464	0.215	0.273
16.0	1.162	0.24775	-0.027	0.005	0.988	0.007	0.995	4.688	0.250	0.273
17.0	1.137	0.27444	-0.027	0.005	0.990	0.006	0.998	4.143	0.252	0.273
18.0	1.104	0.32743	-0.027	0.004	0.992	0.006	0.998	3.372	0.241	0.274
19.0	1.065	0.38429	-0.027	0.004	0.996	0.006	0.998	2.772	0.246	0.276
20.0	1.021	0.42105	-0.027	0.004	0.998	0.005	0.998	2.425	0.254	0.277

Name = NACA 2412
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.786	0.23066	-0.013	0.924	0.005	0.992	0.018	-3.406	0.247	0.234
-19.0	-0.822	0.20934	-0.013	0.914	0.005	0.992	0.017	-3.929	0.232	0.235
-18.0	-0.843	0.18332	-0.014	0.906	0.005	0.992	0.021	-4.601	0.209	0.234
-17.0	-0.856	0.16433	-0.014	0.890	0.006	0.993	0.022	-5.211	0.176	0.234
-16.0	-0.862	0.14783	-0.015	0.876	0.005	0.993	0.026	-5.834	-0.423	0.233
-15.0	-0.859	0.12839	-0.016	0.855	0.006	0.993	0.027	-6.688	0.360	0.232
-14.0	-0.846	0.11390	-0.017	0.837	0.007	0.993	0.034	-7.427	0.328	0.230
-13.0	-0.823	0.09921	-0.018	0.809	0.007	0.994	0.046	-8.298	0.313	0.228
-12.0	-0.790	0.08647	-0.020	0.780	0.007	0.994	0.065	-9.141	0.321	0.224
