Name = NACA 0015
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.186	0.34907	0.013	0.964	0.007	0.981	0.013	-3.399	0.228	0.261
-19.0	-1.204	0.30954	0.013	0.962	0.008	0.980	0.014	-3.889	0.220	0.261
-18.0	-1.213	0.27470	0.012	0.960	0.008	0.978	0.015	-4.416	0.176	0.260
-17.0	-1.214	0.24156	0.012	0.956	0.010	0.978	0.016	-5.025	0.339	0.260
-16.0	-1.204	0.21241	0.012	0.949	0.011	0.977	0.018	-5.670	0.282	0.260
-15.0	-1.185	0.18856	0.011	0.944	0.012	0.974	0.019	-6.282	0.270	0.259
-14.0	-1.154	0.16640	0.011	0.938	0.014	0.971	0.021	-6.935	0.264	0.259
-13.0	-1.113	0.14583	0.010	0.933	0.015	0.968	0.023	-7.630	0.260	0.259
-12.0	-1.062	0.12787	0.010	0.922	0.017	0.966	0.027	-8.303	0.257	0.259
-11.0	-1.002	0.11158	0.009	0.912	0.019	0.963	0.035	-8.979	0.256	0.259
-10.0	-0.933	0.09723	0.009	0.902	0.022	0.961	0.043	-9.601	0.254	0.260
-9.0	-0.858	0.08538	0.009	0.886	0.030	0.958	0.065	-10.049	0.244	0.260
-8.0	-0.798	0.06934	0.010	0.870	0.038	0.954	0.201	-11.507	0.225	0.262
-7.0	-0.777	0.04696	0.011	0.847	0.057	0.951	0.631	-16.551	0.250	0.264
-6.0	-0.697	0.04035	0.010	0.821	0.091	0.948	0.808	-17.283	0.264	0.264
-5.0	-0.591	0.03722	0.008	0.789	0.158	0.946	0.863	-15.887	0.264	0.264
-4.0	-0.478	0.03498	0.007	0.748	0.228	0.945	0.894	-13.663	0.264	0.264
-3.0	-0.361	0.03335	0.005	0.696	0.295	0.946	0.917	-10.828	0.264	0.264
-2.0	-0.242	0.03225	0.003	0.635	0.363	0.947	0.932	-7.504	0.264	0.264
-1.0	-0.121	0.03162	0.002	0.568	0.429	0.947	0.941	-3.837	0.264	0.264
0.0	0.000	0.03141	-0.000	0.498	0.498	0.946	0.946	0.000	0.264	0.250
1.0	0.121	0.03162	-0.002	0.429	0.568	0.941	0.947	3.837	0.264	0.264
2.0	0.242	0.03225	-0.003	0.363	0.635	0.932	0.947	7.502	0.264	0.264
3.0	0.361	0.03336	-0.005	0.295	0.697	0.917	0.945	10.826	0.264	0.264
4.0	0.478	0.03499	-0.007	0.228	0.748	0.894	0.945	13.661	0.264	0.264
5.0	0.591	0.03721	-0.008	0.158	0.789	0.863	0.946	15.892	0.264	0.264
6.0	0.697	0.04034	-0.010	0.091	0.821	0.808	0.948	17.285	0.264	0.264
7.0	0.777	0.04696	-0.011	0.057	0.847	0.631	0.951	16.551	0.250	0.264
8.0	0.798	0.06934	-0.010	0.038	0.870	0.201	0.954	11.507	0.225	0.262
9.0	0.858	0.08538	-0.009	0.030	0.886	0.065	0.958	10.049	0.244	0.260
10.0	0.933	0.09723	-0.009	0.022	0.902	0.043	0.961	9.601	0.254	0.260
11.0	1.002	0.11158	-0.009	0.019	0.912	0.035	0.963	8.979	0.256	0.259
12.0	1.062	0.12787	-0.010	0.017	0.922	0.027	0.966	8.303	0.257	0.259
13.0	1.113	0.14583	-0.010	0.015	0.933	0.023	0.968	7.630	0.260	0.259
14.0	1.154	0.16640	-0.011	0.014	0.938	0.021	0.971	6.935	0.264	0.259
15.0	1.185	0.18856	-0.011	0.012	0.944	0.019	0.974	6.282	0.270	0.259
16.0	1.204	0.21242	-0.012	0.011	0.949	0.018	0.977	5.670	0.282	0.260
17.0	1.214	0.24156	-0.012	0.010	0.956	0.016	0.978	5.025	0.339	0.260
18.0	1.213	0.27470	-0.012	0.008	0.960	0.015	0.978	4.416	0.176	0.260
19.0	1.204	0.30954	-0.013	0.008	0.962	0.014	0.980	3.889	0.220	0.261
