Name = NACA 6412
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.546	0.46610	-0.048	0.915	0.006	0.957	0.008	-1.171	0.224	0.162
-19.0	-0.563	0.42151	-0.049	0.910	0.007	0.953	0.008	-1.336	0.208	0.164
-18.0	-0.575	0.37297	-0.049	0.902	0.007	0.951	0.009	-1.541	0.204	0.164
-17.0	-0.580	0.32994	-0.049	0.892	0.007	0.948	0.009	-1.757	-0.225	0.165
-16.0	-0.576	0.28802	-0.050	0.883	0.007	0.945	0.009	-1.999	0.319	0.163
-15.0	-0.561	0.23966	-0.051	0.875	0.008	0.942	0.009	-2.343	0.278	0.160
-14.0	-0.529	0.20515	-0.051	0.861	0.008	0.940	0.010	-2.580	0.269	0.153
-13.0	-0.487	0.17889	-0.052	0.849	0.008	0.937	0.010	-2.725	0.273	0.143
-12.0	-0.436	0.15294	-0.053	0.838	0.008	0.931	0.011	-2.849	0.269	0.128
-11.0	-0.375	0.13201	-0.054	0.820	0.009	0.928	0.012	-2.839	0.263	0.106
-10.0	-0.305	0.11487	-0.055	0.804	0.009	0.923	0.012	-2.655	0.267	0.070
-9.0	-0.227	0.09975	-0.057	0.785	0.010	0.919	0.014	-2.281	0.273	0.001
-8.0	-0.144	0.08661	-0.059	0.764	0.012	0.915	0.016	-1.657	0.282	-0.160
-7.0	-0.054	0.07721	-0.062	0.741	0.014	0.911	0.020	-0.704	0.286	-0.892
-6.0	0.039	0.06893	-0.065	0.716	0.018	0.906	0.025	0.563	0.281	1.935
-5.0	0.135	0.06230	-0.068	0.686	0.022	0.903	0.029	2.163	0.290	0.755
-4.0	0.233	0.05727	-0.073	0.655	0.027	0.898	0.040	4.064	0.317	0.565
-3.0	0.333	0.05351	-0.081	0.616	0.040	0.896	0.065	6.222	0.356	0.494
-2.0	0.439	0.04937	-0.095	0.568	0.061	0.897	0.133	8.889	0.447	0.466
-1.0	0.650	0.03195	-0.144	0.502	0.098	0.904	0.997	20.357	0.409	0.471
0.0	0.756	0.03436	-0.145	0.439	0.160	0.904	0.997	21.990	0.261	0.442
1.0	0.868	0.03587	-0.146	0.423	0.301	0.880	0.997	24.205	0.255	0.419
2.0	0.977	0.03694	-0.147	0.409	0.975	0.848	0.989	26.460	0.252	0.400
3.0	1.082	0.03985	-0.147	0.397	0.979	0.805	0.990	27.154	0.251	0.386
4.0	1.183	0.04295	-0.147	0.380	0.983	0.759	0.992	27.551	0.248	0.374
5.0	1.278	0.04678	-0.146	0.364	0.987	0.701	0.996	27.308	0.241	0.365
6.0	1.361	0.05187	-0.145	0.350	0.991	0.634	0.998	26.240	0.242	0.357
7.0	1.445	0.05707	-0.145	0.327	0.998	0.594	0.998	25.325	0.251	0.350
8.0	1.526	0.06306	-0.145	0.297	0.998	0.567	0.998	24.203	0.300	0.345
9.0	1.670	0.06515	-0.156	0.017	0.998	0.764	0.998	25.641	0.303	0.344
10.0	1.712	0.07277	-0.155	0.013	0.998	0.699	0.998	23.526	0.742	0.341
11.0	1.506	0.11028	-0.075	0.010	0.998	0.017	0.998	13.652	0.710	0.300
