Name = NACA 2424
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.545	0.26676	0.002	0.886	0.034	0.939	0.064	-5.791	0.275	0.251
-19.0	-1.498	0.24292	0.001	0.878	0.036	0.936	0.070	-6.166	0.274	0.250
-18.0	-1.444	0.21956	-0.001	0.867	0.039	0.932	0.074	-6.577	0.273	0.250
-17.0	-1.386	0.19797	-0.002	0.854	0.042	0.927	0.084	-6.999	0.273	0.249
-16.0	-1.321	0.17790	-0.003	0.842	0.046	0.922	0.095	-7.426	0.272	0.247
-15.0	-1.250	0.15919	-0.005	0.828	0.051	0.918	0.104	-7.853	0.273	0.246
-14.0	-1.176	0.14224	-0.007	0.811	0.056	0.914	0.122	-8.267	0.273	0.244
-13.0	-1.096	0.12657	-0.009	0.796	0.062	0.908	0.140	-8.658	0.274	0.242
-12.0	-1.011	0.11221	-0.011	0.773	0.069	0.905	0.166	-9.012	0.275	0.240
-11.0	-0.923	0.09958	-0.013	0.753	0.079	0.897	0.194	-9.265	0.276	0.236
-10.0	-0.831	0.08803	-0.015	0.725	0.090	0.894	0.230	-9.442	0.277	0.232
-9.0	-0.737	0.07769	-0.018	0.698	0.102	0.888	0.273	-9.483	0.278	0.226
-8.0	-0.638	0.06906	-0.021	0.666	0.119	0.884	0.317	-9.242	0.279	0.218
-7.0	-0.537	0.06131	-0.024	0.632	0.137	0.880	0.378	-8.762	0.282	0.206
-6.0	-0.434	0.05448	-0.027	0.596	0.158	0.874	0.462	-7.965	0.283	0.187
-5.0	-0.325	0.04934	-0.031	0.558	0.182	0.868	0.545	-6.592	0.282	0.155
-4.0	-0.211	0.04553	-0.034	0.517	0.207	0.861	0.632	-4.644	0.281	0.087
-3.0	-0.092	0.04300	-0.038	0.476	0.236	0.852	0.716	-2.150	0.280	-0.161
-2.0	0.031	0.04157	-0.042	0.441	0.267	0.837	0.787	0.755	0.277	1.574
-1.0	0.159	0.04097	-0.045	0.419	0.300	0.807	0.840	3.869	0.275	0.532
0.0	0.281	0.04189	-0.048	0.400	0.340	0.769	0.874	6.705	0.273	0.420
1.0	0.402	0.04293	-0.050	0.375	0.405	0.736	0.885	9.373	0.272	0.375
2.0	0.521	0.04458	-0.053	0.353	0.475	0.696	0.886	11.685	0.272	0.351
3.0	0.637	0.04676	-0.056	0.327	0.517	0.662	0.902	13.631	0.272	0.337
4.0	0.751	0.04959	-0.058	0.301	0.561	0.627	0.911	15.151	0.272	0.327
5.0	0.864	0.05301	-0.061	0.273	0.609	0.599	0.917	16.291	0.272	0.320
6.0	0.972	0.05727	-0.063	0.247	0.659	0.566	0.920	16.975	0.271	0.315
7.0	1.078	0.06233	-0.065	0.219	0.707	0.538	0.922	17.302	0.271	0.310
8.0	1.181	0.06839	-0.067	0.193	0.751	0.509	0.922	17.271	0.271	0.307
9.0	1.279	0.07551	-0.069	0.168	0.785	0.479	0.926	16.943	0.271	0.304
10.0	1.374	0.08379	-0.071	0.144	0.812	0.449	0.931	16.393	0.271	0.302
11.0	1.464	0.09332	-0.073	0.122	0.837	0.422	0.934	15.691	0.270	0.300
12.0	1.545	0.10489	-0.075	0.104	0.855	0.387	0.937	14.733	0.268	0.298
13.0	1.621	0.11790	-0.076	0.087	0.873	0.354	0.940	13.751	0.263	0.297
14.0	1.686	0.13405	-0.077	0.075	0.884	0.308	0.945	12.577	0.256	0.295
15.0	1.745	0.15221	-0.077	0.064	0.897	0.263	0.949	11.462	0.250	0.294
16.0	1.798	0.17266	-0.077	0.055	0.908	0.222	0.953	10.412	0.240	0.293
17.0	1.842	0.19519	-0.076	0.049	0.914	0.180	0.958	9.436	0.227	0.291
18.0	1.878	0.21975	-0.075	0.044	0.922	0.146	0.959	8.546	0.226	0.290
19.0	1.910	0.24465	-0.074	0.040	0.931	0.122	0.962	7.809	0.237	0.289
20.0	1.939	0.27099	-0.074	0.035	0.935	0.105	0.964	7.155	0.245	0.288

Name = NACA 2424
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.644	0.12678	0.003	0.803	0.024	0.990	0.325	-12.969	0.289	0.252
-19.0	-1.602	0.11088	0.001	0.780	0.027	0.990	0.354	-14.452	0.288	0.251
-18.0	-1.556	0.09593	-0.001	0.760	0.030	0.990	0.389	-16.216	0.286	0.250
-17.0	-1.502	0.08261	-0.003	0.733	0.032	0.989	0.428	-18.185	0.285	0.248
-16.0	-1.442	0.07076	-0.005	0.710	0.034	0.989	0.471	-20.385	0.283	0.247
-15.0	-1.376	0.06032	-0.007	0.677	0.036	0.988	0.517	-22.810	0.282	0.245
-14.0	-1.303	0.05109	-0.009	0.649	0.040	0.987	0.567	-25.503	0.282	0.243
-13.0	-1.223	0.04316	-0.012	0.617	0.045	0.986	0.621	-28.340	0.281	0.240
