Name = NACA 0006
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.149	1.08565	0.004	0.993	0.002	0.997	0.004	-0.137	0.238	0.280
-19.0	-0.170	0.86241	0.004	0.993	0.002	0.996	0.004	-0.197	0.240	0.275
-18.0	-0.195	0.82072	0.004	0.992	0.002	0.996	0.004	-0.237	0.241	0.270
-17.0	-0.224	0.72135	0.004	0.992	0.002	0.995	0.003	-0.310	0.241	0.267
-16.0	-0.258	0.90424	0.003	0.991	0.002	0.995	0.003	-0.286	0.243	0.263
-15.0	-0.298	0.70539	0.003	0.991	0.002	0.995	0.003	-0.423	0.245	0.261
-14.0	-0.343	0.59006	0.003	0.991	0.002	0.994	0.003	-0.582	0.245	0.259
-13.0	-0.394	0.46326	0.003	0.990	0.001	0.993	0.002	-0.849	0.245	0.257
-12.0	-0.446	0.33332	0.002	0.990	0.001	0.993	0.002	-1.339	0.246	0.255
-11.0	-0.498	0.27517	0.002	0.989	0.001	0.993	0.002	-1.810	0.245	0.254
-10.0	-0.542	0.19225	0.002	0.986	0.001	0.993	0.002	-2.819	0.246	0.254
-9.0	-0.571	0.14714	0.002	0.983	0.002	0.992	0.002	-3.880	0.245	0.253
-8.0	-0.578	0.11701	0.002	0.981	0.002	0.991	0.004	-4.935	0.265	0.253
-7.0	-0.557	0.09256	0.002	0.978	0.004	0.991	0.005	-6.022	0.255	0.253
-6.0	-0.508	0.07074	0.002	0.974	0.004	0.990	0.005	-7.183	0.253	0.253
-5.0	-0.437	0.05776	0.001	0.966	0.005	0.990	0.006	-7.569	0.253	0.253
-4.0	-0.358	0.04848	0.001	0.958	0.006	0.990	0.008	-7.377	0.252	0.253
-3.0	-0.273	0.04210	0.001	0.941	0.009	0.988	0.016	-6.473	0.247	0.253
-2.0	-0.228	0.02214	0.001	0.920	0.644	0.987	0.991	-10.278	0.251	0.256
-1.0	-0.114	0.02161	0.001	0.889	0.766	0.986	0.990	-5.279	0.256	0.256
0.0	-0.000	0.02068	-0.000	0.842	0.842	0.987	0.987	-0.000	0.256	0.250
1.0	0.114	0.02161	-0.001	0.766	0.889	0.990	0.986	5.279	0.256	0.256
2.0	0.228	0.02214	-0.001	0.644	0.920	0.991	0.987	10.278	0.251	0.256
3.0	0.273	0.04210	-0.001	0.009	0.941	0.016	0.988	6.473	0.247	0.253
4.0	0.358	0.04848	-0.001	0.006	0.958	0.008	0.990	7.377	0.252	0.253
5.0	0.437	0.05776	-0.001	0.005	0.966	0.006	0.990	7.569	0.253	0.253
6.0	0.508	0.07074	-0.002	0.004	0.974	0.005	0.990	7.183	0.253	0.253
7.0	0.557	0.09256	-0.002	0.004	0.978	0.005	0.991	6.022	0.255	0.253
8.0	0.578	0.11701	-0.002	0.002	0.981	0.004	0.991	4.935	0.265	0.253
