Name = NACA 2421
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.428	0.28685	-0.003	0.908	0.022	0.950	0.039	-4.978	0.281	0.248
-19.0	-1.398	0.25813	-0.004	0.900	0.023	0.947	0.042	-5.416	0.278	0.247
-18.0	-1.359	0.23286	-0.005	0.890	0.025	0.945	0.045	-5.835	0.272	0.246
-17.0	-1.307	0.20863	-0.006	0.881	0.028	0.940	0.048	-6.266	0.271	0.245
-16.0	-1.250	0.18762	-0.007	0.872	0.030	0.937	0.055	-6.665	0.270	0.244
-15.0	-1.187	0.16703	-0.008	0.857	0.033	0.934	0.060	-7.106	0.270	0.243
-14.0	-1.118	0.14864	-0.010	0.845	0.036	0.928	0.069	-7.522	0.271	0.241
-13.0	-1.044	0.13251	-0.011	0.829	0.041	0.924	0.081	-7.880	0.272	0.239
-12.0	-0.966	0.11745	-0.013	0.811	0.045	0.919	0.098	-8.224	0.273	0.236
-11.0	-0.883	0.10388	-0.015	0.792	0.053	0.915	0.120	-8.504	0.276	0.233
-10.0	-0.798	0.09122	-0.017	0.768	0.062	0.911	0.154	-8.752	0.279	0.228
-9.0	-0.711	0.07917	-0.020	0.744	0.072	0.907	0.207	-8.979	0.281	0.222
-8.0	-0.619	0.06880	-0.023	0.715	0.087	0.903	0.270	-9.003	0.284	0.213
-7.0	-0.526	0.05915	-0.026	0.681	0.104	0.899	0.362	-8.898	0.287	0.200
-6.0	-0.430	0.05064	-0.030	0.646	0.128	0.894	0.490	-8.500	0.287	0.180
-5.0	-0.327	0.04465	-0.034	0.607	0.156	0.890	0.618	-7.316	0.283	0.147
-4.0	-0.215	0.04083	-0.037	0.564	0.188	0.886	0.736	-5.265	0.279	0.077
-3.0	-0.096	0.03881	-0.040	0.518	0.223	0.882	0.822	-2.471	0.276	-0.172
-2.0	0.028	0.03785	-0.043	0.471	0.262	0.875	0.876	0.738	0.273	1.805
-1.0	0.154	0.03757	-0.046	0.435	0.307	0.858	0.907	4.101	0.270	0.549
0.0	0.275	0.03829	-0.049	0.412	0.373	0.829	0.921	7.190	0.268	0.426
1.0	0.396	0.03921	-0.051	0.388	0.472	0.794	0.915	10.092	0.268	0.378
2.0	0.514	0.04069	-0.053	0.362	0.523	0.756	0.927	12.624	0.268	0.353
3.0	0.629	0.04278	-0.055	0.336	0.575	0.715	0.934	14.691	0.268	0.337
4.0	0.742	0.04537	-0.057	0.305	0.632	0.680	0.936	16.345	0.268	0.327
5.0	0.852	0.04864	-0.059	0.272	0.689	0.647	0.936	17.518	0.267	0.319
6.0	0.959	0.05265	-0.061	0.240	0.741	0.613	0.935	18.219	0.267	0.313
7.0	1.063	0.05754	-0.062	0.206	0.784	0.581	0.936	18.478	0.268	0.309
8.0	1.163	0.06345	-0.064	0.173	0.816	0.547	0.938	18.329	0.267	0.305
9.0	1.257	0.07073	-0.066	0.140	0.843	0.511	0.941	17.775	0.266	0.302
10.0	1.345	0.07932	-0.067	0.110	0.864	0.472	0.945	16.960	0.265	0.300
11.0	1.426	0.08976	-0.068	0.085	0.880	0.429	0.950	15.892	0.260	0.298
12.0	1.497	0.10303	-0.069	0.069	0.895	0.372	0.954	14.525	0.246	0.296
13.0	1.551	0.12016	-0.068	0.055	0.907	0.297	0.958	12.909	0.220	0.294
14.0	1.593	0.14068	-0.066	0.047	0.915	0.217	0.961	11.326	0.197	0.291
15.0	1.634	0.16210	-0.064	0.039	0.925	0.157	0.963	10.080	0.194	0.289
16.0	1.673	0.18491	-0.061	0.033	0.933	0.114	0.965	9.045	0.198	0.287
17.0	1.709	0.20841	-0.060	0.030	0.938	0.086	0.968	8.200	0.213	0.285
18.0	1.742	0.23256	-0.059	0.027	0.944	0.070	0.971	7.490	0.221	0.284
19.0	1.769	0.25895	-0.058	0.024	0.948	0.057	0.974	6.830	0.236	0.283
20.0	1.790	0.28680	-0.058	0.022	0.954	0.051	0.976	6.242	0.257	0.282

Name = NACA 2421
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.501	0.14446	-0.004	0.836	0.017	0.990	0.245	-10.389	0.311	0.247
-19.0	-1.478	0.12694	-0.006	0.814	0.018	0.990	0.272	-11.642	0.302	0.246
-18.0	-1.446	0.11053	-0.007	0.798	0.019	0.990	0.304	-13.079	0.292	0.245
-17.0	-1.403	0.09493	-0.009	0.771	0.021	0.990	0.343	-14.776	0.288	0.244
-16.0	-1.355	0.08014	-0.011	0.750	0.023	0.990	0.392	-16.903	0.288	0.242
-15.0	-1.303	0.06607	-0.013	0.719	0.025	0.990	0.456	-19.717	0.288	0.240
-14.0	-1.244	0.05380	-0.015	0.690	0.029	0.990	0.528	-23.123	0.285	0.238
-13.0	-1.176	0.04437	-0.017	0.660	0.032	0.990	0.596	-26.505	0.283	0.235
-12.0	-1.101	0.03678	-0.020	0.623	0.035	0.990	0.670	-29.923	0.281	0.232
-11.0	-1.017	0.03051	-0.022	0.587	0.040	0.990	0.743	-33.327	0.279	0.228
-10.0	-0.924	0.02623	-0.025	0.554	0.045	0.988	0.807	-35.219	0.276	0.223
-9.0	-0.821	0.02314	-0.027	0.513	0.053	0.987	0.859	-35.487	0.274	0.217
-8.0	-0.710	0.02097	-0.030	0.471	0.061	0.986	0.896	-33.875	0.273	0.208
-7.0	-0.594	0.01926	-0.032	0.436	0.071	0.985	0.923	-30.840	0.272	0.196
-6.0	-0.474	0.01784	-0.035	0.413	0.084	0.983	0.942	-26.564	0.271	0.176
-5.0	-0.351	0.01932	-0.038	0.396	0.099	0.982	0.957	-18.150	0.271	0.143
-4.0	-0.225	0.01868	-0.040	0.368	0.117	0.980	0.965	-12.062	0.271	0.072
-3.0	-0.099	0.01819	-0.043	0.349	0.139	0.978	0.972	-5.436	0.271	-0.182
-2.0	0.029	0.01802	-0.045	0.321	0.161	0.976	0.977	1.582	0.271	1.841
-1.0	0.156	0.01781	-0.048	0.299	0.186	0.972	0.980	8.780	0.271	0.557
0.0	0.283	0.01531	-0.051	0.271	0.215	0.967	0.983	18.496	0.271	0.429
