Name = NACA 4424
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.359	0.26586	-0.028	0.860	0.032	0.925	0.056	-5.110	0.269	0.229
-19.0	-1.303	0.24068	-0.029	0.850	0.036	0.921	0.057	-5.415	0.272	0.227
-18.0	-1.243	0.21736	-0.031	0.840	0.037	0.915	0.063	-5.719	0.275	0.225
-17.0	-1.177	0.19646	-0.033	0.825	0.040	0.912	0.069	-5.993	0.274	0.222
-16.0	-1.106	0.17725	-0.034	0.811	0.043	0.909	0.075	-6.239	0.273	0.219
-15.0	-1.029	0.15913	-0.036	0.799	0.046	0.901	0.081	-6.467	0.276	0.215
-14.0	-0.948	0.14270	-0.038	0.779	0.050	0.897	0.093	-6.647	0.276	0.210
-13.0	-0.862	0.12794	-0.040	0.762	0.056	0.890	0.103	-6.741	0.276	0.203
-12.0	-0.773	0.11450	-0.043	0.741	0.062	0.886	0.115	-6.750	0.279	0.194
-11.0	-0.680	0.10221	-0.046	0.719	0.068	0.881	0.134	-6.654	0.281	0.183
-10.0	-0.583	0.09132	-0.049	0.694	0.076	0.876	0.155	-6.385	0.282	0.166
-9.0	-0.483	0.08183	-0.052	0.669	0.086	0.869	0.180	-5.907	0.284	0.142
-8.0	-0.381	0.07327	-0.056	0.639	0.098	0.865	0.213	-5.207	0.286	0.104
-7.0	-0.277	0.06601	-0.060	0.610	0.112	0.858	0.250	-4.190	0.287	0.034
-6.0	-0.169	0.05991	-0.064	0.574	0.129	0.853	0.294	-2.817	0.290	-0.128
-5.0	-0.058	0.05473	-0.068	0.537	0.148	0.849	0.351	-1.059	0.304	-0.929
-4.0	0.058	0.04842	-0.076	0.497	0.169	0.844	0.503	1.192	0.311	1.566
-3.0	0.182	0.04443	-0.083	0.455	0.194	0.838	0.658	4.094	0.299	0.705
-2.0	0.313	0.04251	-0.089	0.434	0.220	0.813	0.799	7.368	0.287	0.533
-1.0	0.446	0.04228	-0.093	0.419	0.250	0.781	0.880	10.546	0.279	0.458
0.0	0.557	0.04430	-0.096	0.405	0.286	0.742	0.919	12.566	0.274	0.422
1.0	0.674	0.04598	-0.098	0.391	0.331	0.701	0.940	14.654	0.268	0.395
2.0	0.789	0.04804	-0.100	0.371	0.493	0.668	0.919	16.430	0.267	0.376
3.0	0.901	0.05086	-0.102	0.355	0.539	0.628	0.933	17.716	0.270	0.363
4.0	1.011	0.05418	-0.104	0.338	0.591	0.594	0.939	18.664	0.271	0.353
5.0	1.122	0.05796	-0.107	0.314	0.652	0.575	0.941	19.357	0.271	0.345
6.0	1.228	0.06257	-0.109	0.294	0.716	0.547	0.940	19.629	0.272	0.339
7.0	1.335	0.06769	-0.111	0.268	0.772	0.534	0.938	19.725	0.273	0.333
