Name = NACA 2410
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.528	0.60955	-0.011	0.967	0.003	0.981	0.005	-0.866	0.248	0.229
-19.0	-0.569	0.51649	-0.011	0.965	0.004	0.980	0.005	-1.101	0.243	0.231
-18.0	-0.610	0.47083	-0.012	0.962	0.004	0.980	0.005	-1.295	0.241	0.231
-17.0	-0.649	0.37739	-0.012	0.960	0.004	0.978	0.005	-1.719	0.241	0.232
-16.0	-0.683	0.33494	-0.012	0.959	0.005	0.978	0.006	-2.040	0.235	0.232
-15.0	-0.711	0.29046	-0.013	0.953	0.005	0.977	0.006	-2.448	0.232	0.232
-14.0	-0.729	0.24351	-0.013	0.947	0.005	0.976	0.007	-2.993	0.196	0.232
-13.0	-0.726	0.19411	-0.013	0.942	0.005	0.975	0.007	-3.742	0.292	0.231
-12.0	-0.707	0.16807	-0.014	0.936	0.006	0.972	0.007	-4.204	0.267	0.230
-11.0	-0.675	0.14016	-0.014	0.928	0.006	0.970	0.008	-4.815	0.262	0.229
-10.0	-0.631	0.11938	-0.015	0.917	0.006	0.967	0.008	-5.285	0.261	0.226
-9.0	-0.576	0.10030	-0.015	0.907	0.007	0.965	0.009	-5.738	0.262	0.223
-8.0	-0.510	0.08469	-0.016	0.892	0.008	0.963	0.010	-6.020	0.264	0.218
-7.0	-0.435	0.07233	-0.017	0.876	0.009	0.961	0.013	-6.016	0.270	0.210
-6.0	-0.354	0.06314	-0.020	0.854	0.012	0.960	0.020	-5.603	0.272	0.195
-5.0	-0.267	0.05626	-0.021	0.830	0.019	0.958	0.026	-4.740	0.288	0.171
-4.0	-0.177	0.04955	-0.026	0.800	0.025	0.956	0.069	-3.575	0.398	0.102
-3.0	-0.101	0.02643	-0.046	0.762	0.069	0.955	0.992	-3.823	0.356	-0.202
-2.0	0.017	0.02613	-0.047	0.717	0.250	0.955	0.992	0.632	0.259	3.078
-1.0	0.134	0.02484	-0.048	0.663	0.660	0.956	0.987	5.414	0.259	0.605
