Name = NACA 0008
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.348	0.95175	0.005	0.990	0.001	0.993	0.002	-0.366	0.243	0.264
-19.0	-0.389	0.77675	0.005	0.990	0.001	0.992	0.002	-0.500	0.244	0.262
-18.0	-0.434	0.62960	0.004	0.989	0.001	0.992	0.002	-0.689	0.246	0.260
-17.0	-0.483	0.57317	0.004	0.988	0.001	0.992	0.002	-0.842	0.247	0.259
-16.0	-0.535	0.46845	0.004	0.986	0.001	0.991	0.003	-1.141	0.248	0.257
-15.0	-0.588	0.36412	0.004	0.985	0.002	0.991	0.003	-1.614	0.248	0.257
-14.0	-0.639	0.30235	0.004	0.983	0.002	0.991	0.004	-2.114	0.247	0.256
-13.0	-0.685	0.25938	0.004	0.981	0.003	0.990	0.004	-2.641	0.246	0.255
-12.0	-0.721	0.21136	0.003	0.979	0.003	0.990	0.005	-3.409	0.242	0.255
-11.0	-0.741	0.17023	0.003	0.977	0.004	0.990	0.005	-4.352	0.228	0.254
-10.0	-0.742	0.13729	0.003	0.974	0.004	0.990	0.005	-5.401	0.264	0.254
-9.0	-0.709	0.11081	0.003	0.968	0.005	0.988	0.006	-6.397	0.256	0.254
-8.0	-0.662	0.08864	0.003	0.963	0.005	0.986	0.007	-7.468	0.255	0.254
-7.0	-0.602	0.07478	0.002	0.958	0.005	0.984	0.007	-8.055	0.254	0.254
-6.0	-0.532	0.06330	0.002	0.947	0.006	0.982	0.008	-8.403	0.253	0.254
-5.0	-0.453	0.05412	0.002	0.936	0.008	0.981	0.011	-8.372	0.250	0.254
-4.0	-0.372	0.04719	0.002	0.918	0.020	0.979	0.061	-7.890	0.242	0.255
-3.0	-0.346	0.02537	0.003	0.896	0.370	0.979	0.990	-13.648	0.252	0.258
-2.0	-0.232	0.02333	0.002	0.864	0.541	0.978	0.987	-9.926	0.258	0.257
-1.0	-0.116	0.02305	0.001	0.818	0.661	0.979	0.984	-5.029	0.257	0.257
0.0	0.000	0.02578	-0.000	0.754	0.754	0.981	0.981	0.000	0.257	0.250
1.0	0.116	0.02307	-0.001	0.661	0.818	0.983	0.979	5.026	0.257	0.257
2.0	0.232	0.02330	-0.002	0.541	0.864	0.987	0.978	9.940	0.258	0.257
3.0	0.346	0.02544	-0.003	0.370	0.896	0.990	0.978	13.608	0.252	0.258
4.0	0.372	0.04717	-0.002	0.020	0.918	0.061	0.979	7.894	0.242	0.255
5.0	0.453	0.05413	-0.002	0.008	0.936	0.011	0.981	8.371	0.250	0.254
6.0	0.532	0.06331	-0.002	0.006	0.947	0.008	0.982	8.402	0.253	0.254
7.0	0.602	0.07477	-0.002	0.005	0.958	0.007	0.984	8.056	0.254	0.254
8.0	0.662	0.08864	-0.003	0.005	0.963	0.007	0.986	7.468	0.255	0.254
9.0	0.709	0.11081	-0.003	0.005	0.968	0.006	0.988	6.397	0.256	0.254
10.0	0.742	0.13695	-0.003	0.004	0.974	0.005	0.990	5.415	0.264	0.254
11.0	0.741	0.17021	-0.003	0.004	0.977	0.005	0.990	4.352	0.228	0.254
12.0	0.721	0.21135	-0.003	0.003	0.979	0.005	0.990	3.410	0.242	0.255
13.0	0.685	0.25937	-0.004	0.003	0.981	0.004	0.990	2.641	0.246	0.255
14.0	0.639	0.30234	-0.004	0.002	0.982	0.004	0.991	2.114	0.247	0.256
15.0	0.588	0.36417	-0.004	0.002	0.984	0.003	0.991	1.614	0.248	0.257
16.0	0.535	0.46844	-0.004	0.001	0.986	0.003	0.991	1.141	0.248	0.257
17.0	0.483	0.57317	-0.004	0.001	0.988	0.002	0.992	0.842	0.247	0.259
18.0	0.434	0.62961	-0.004	0.001	0.990	0.002	0.992	0.689	0.246	0.260
19.0	0.389	0.77675	-0.005	0.001	0.990	0.002	0.993	0.500	0.244	0.262
20.0	0.348	0.95178	-0.005	0.001	0.990	0.002	0.992	0.366	0.243	0.264

Name = NACA 0008
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.349	0.35225	0.006	0.982	0.001	0.997	0.010	-0.990	0.240	0.269
-19.0	-0.389	0.31374	0.006	0.980	0.001	0.996	0.009	-1.241	0.241	0.266
-18.0	-0.434	0.27431	0.006	0.978	0.001	0.996	0.008	-1.583	0.243	0.263
-17.0	-0.483	0.23804	0.005	0.977	0.001	0.996	0.008	-2.030	0.244	0.261
-16.0	-0.535	0.20934	0.005	0.971	0.001	0.997	0.008	-2.557	0.244	0.259
-15.0	-0.588	0.17369	0.005	0.965	0.002	0.997	0.008	-3.388	0.244	0.258
-14.0	-0.640	0.15085	0.004	0.960	0.002	0.997	0.007	-4.242	0.241	0.257
-13.0	-0.685	0.12328	0.004	0.950	0.003	1.000	0.005	-5.559	0.241	0.256
-12.0	-0.721	0.10571	0.004	0.939	0.003	1.000	0.006	-6.819	0.243	0.255
-11.0	-0.741	0.09003	0.003	0.922	0.004	1.000	0.007	-8.232	0.228	0.255
-10.0	-0.742	0.07732	0.003	0.903	0.004	1.000	0.007	-9.596	0.265	0.254
-9.0	-0.709	0.06620	0.003	0.874	0.005	1.000	0.009	-10.715	0.256	0.254
-8.0	-0.663	0.05643	0.003	0.835	0.005	1.000	0.010	-11.741	0.253	0.254
-7.0	-0.604	0.04958	0.003	0.779	0.005	1.000	0.016	-12.177	10.802	0.254
-6.0	-0.663	0.01518	0.005	0.714	0.006	1.000	0.994	-43.662	0.207	0.258
-5.0	-0.564	0.01447	0.004	0.641	0.008	1.000	0.996	-39.001	0.258	0.258
-4.0	-0.458	0.01385	0.003	0.567	0.020	1.000	0.997	-33.076	0.258	0.258
-3.0	-0.347	0.01430	0.003	0.496	0.062	1.000	0.997	-24.245	0.258	0.258
-2.0	-0.232	0.01349	0.002	0.426	0.148	1.000	0.998	-17.203	0.258	0.258
-1.0	-0.116	0.01309	0.001	0.359	0.224	1.000	0.998	-8.883	0.258	0.258
0.0	0.000	0.01293	-0.000	0.293	0.293	1.000	0.998	0.000	0.258	0.250
1.0	0.116	0.01312	-0.001	0.224	0.359	1.000	0.998	8.867	0.258	0.258
2.0	0.232	0.01357	-0.002	0.148	0.426	1.000	0.998	17.119	0.258	0.258
3.0	0.347	0.01430	-0.003	0.062	0.496	1.000	0.998	24.266	0.258	0.258
4.0	0.458	0.01384	-0.003	0.020	0.567	1.000	0.998	33.132	0.258	0.258
5.0	0.564	0.01447	-0.004	0.008	0.641	0.996	0.998	39.004	0.258	0.258
6.0	0.663	0.01517	-0.005	0.006	0.715	0.994	0.998	43.693	0.207	0.258
7.0	0.604	0.04957	-0.003	0.005	0.780	0.016	0.998	12.179	10.799	0.254
8.0	0.663	0.05642	-0.003	0.005	0.835	0.010	0.998	11.742	0.253	0.254
9.0	0.709	0.06620	-0.003	0.005	0.874	0.009	0.998	10.714	0.256	0.254
10.0	0.742	0.07734	-0.003	0.004	0.903	0.007	0.998	9.593	0.265	0.254
11.0	0.741	0.09003	-0.003	0.004	0.922	0.007	0.998	8.232	0.228	0.255
12.0	0.721	0.10570	-0.004	0.003	0.939	0.006	0.997	6.820	0.243	0.255
13.0	0.685	0.12328	-0.004	0.003	0.950	0.005	0.997	5.559	0.241	0.256
14.0	0.640	0.15085	-0.004	0.002	0.959	0.007	0.997	4.242	0.241	0.257
15.0	0.588	0.17369	-0.005	0.002	0.964	0.008	0.997	3.388	0.244	0.258
16.0	0.535	0.20934	-0.005	0.001	0.970	0.008	0.997	2.557	0.244	0.259
17.0	0.483	0.23804	-0.005	0.001	0.977	0.008	0.996	2.030	0.244	0.261
18.0	0.434	0.27430	-0.006	0.001	0.978	0.008	0.996	1.583	0.243	0.263
19.0	0.389	0.31374	-0.006	0.001	0.980	0.009	0.996	1.241	0.241	0.266
20.0	0.349	0.35225	-0.006	0.001	0.982	0.010	0.996	0.990	0.240	0.269

Name = NACA 0008
Mach = 0; Re = 830000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.349	0.24511	0.007	0.977	0.001	1.000	0.018	-1.425	0.239	0.271
-19.0	-0.390	0.22988	0.007	0.972	0.001	1.000	0.017	-1.697	0.239	0.267
-18.0	-0.435	0.20339	0.006	0.966	0.001	1.000	0.015	-2.139	0.241	0.265
-17.0	-0.484	0.18979	0.006	0.960	0.001	1.000	0.014	-2.550	0.242	0.262
-16.0	-0.536	0.17000	0.006	0.953	0.001	1.000	0.013	-3.153	0.242	0.260
-15.0	-0.589	0.14743	0.005	0.940	0.001	1.000	0.011	-3.995	0.242	0.259
-14.0	-0.640	0.13197	0.005	0.925	0.001	1.000	0.011	-4.853	0.243	0.257
-13.0	-0.686	0.11397	0.004	0.906	0.002	1.000	0.010	-6.021	0.240	0.256
-12.0	-0.721	0.09650	0.004	0.875	0.003	1.000	0.009	-7.476	0.238	0.255
-11.0	-0.742	0.08319	0.004	0.836	0.003	1.000	0.010	-8.916	0.226	0.255
-10.0	-0.743	0.07162	0.003	0.780	0.004	1.000	0.010	-10.368	0.260	0.255
-9.0	-0.711	0.06213	0.003	0.718	0.005	1.000	0.017	-11.439	0.304	0.255
-8.0	-0.802	0.01933	0.007	0.656	0.005	1.000	0.856	-41.506	0.316	0.258
-7.0	-0.751	0.01500	0.006	0.587	0.005	1.000	0.993	-50.033	0.261	0.258
-6.0	-0.663	0.01417	0.005	0.525	0.006	1.000	0.996	-46.778	0.259	0.258
-5.0	-0.565	0.01350	0.004	0.466	0.008	1.000	0.997	-41.819	0.258	0.258
-4.0	-0.458	0.01401	0.003	0.410	0.018	1.000	0.997	-32.693	0.258	0.258
-3.0	-0.347	0.01343	0.003	0.357	0.036	1.000	0.998	-25.820	0.258	0.258
-2.0	-0.232	0.01289	0.002	0.304	0.085	1.000	0.998	-18.002	0.258	0.258
-1.0	-0.116	0.01248	0.001	0.252	0.143	1.000	0.998	-9.318	0.258	0.258
0.0	0.000	0.01240	-0.000	0.198	0.198	1.000	0.998	0.000	0.258	0.250
1.0	0.116	0.01251	-0.001	0.143	0.252	1.000	0.998	9.298	0.258	0.258
2.0	0.232	0.01285	-0.002	0.085	0.304	1.000	0.998	18.074	0.258	0.258
3.0	0.347	0.01338	-0.003	0.036	0.357	1.000	0.998	25.935	0.258	0.258
4.0	0.458	0.01402	-0.003	0.018	0.410	1.000	0.998	32.699	0.258	0.258
5.0	0.565	0.01350	-0.004	0.008	0.466	1.000	0.998	41.836	0.258	0.258
6.0	0.663	0.01417	-0.005	0.006	0.525	0.996	0.998	46.767	0.259	0.258
7.0	0.751	0.01493	-0.006	0.005	0.587	0.994	0.999	50.285	0.261	0.258
8.0	0.802	0.01933	-0.007	0.005	0.656	0.856	0.998	41.493	0.316	0.258
9.0	0.711	0.06214	-0.003	0.005	0.718	0.017	0.999	11.437	0.304	0.255
10.0	0.743	0.07163	-0.003	0.004	0.781	0.010	0.999	10.367	0.260	0.255
11.0	0.742	0.08319	-0.004	0.003	0.836	0.010	0.998	8.916	0.226	0.255
12.0	0.721	0.09650	-0.004	0.003	0.875	0.009	0.998	7.475	0.238	0.255
13.0	0.686	0.11397	-0.004	0.002	0.906	0.010	0.998	6.021	0.240	0.256
14.0	0.640	0.13197	-0.005	0.001	0.925	0.011	0.998	4.853	0.243	0.257
15.0	0.589	0.14743	-0.005	0.001	0.940	0.011	0.998	3.995	0.242	0.259
16.0	0.536	0.17000	-0.006	0.001	0.952	0.013	0.998	3.153	0.242	0.260
17.0	0.484	0.18979	-0.006	0.001	0.960	0.014	0.998	2.550	0.242	0.262
18.0	0.435	0.20339	-0.006	0.001	0.966	0.015	0.998	2.139	0.241	0.265
19.0	0.390	0.22989	-0.007	0.001	0.972	0.017	0.998	1.696	0.239	0.267
20.0	0.349	0.24510	-0.007	0.001	0.977	0.018	0.997	1.425	0.239	0.271

Name = NACA 0008
