Name = NACA 2411
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.656	0.51220	-0.011	0.964	0.004	0.980	0.006	-1.281	0.242	0.234
-19.0	-0.697	0.46149	-0.011	0.961	0.005	0.978	0.006	-1.510	0.243	0.234
-18.0	-0.735	0.38583	-0.011	0.959	0.005	0.978	0.006	-1.905	0.241	0.235
-17.0	-0.768	0.32900	-0.012	0.957	0.005	0.977	0.007	-2.335	0.235	0.235
-16.0	-0.792	0.28995	-0.012	0.951	0.006	0.976	0.007	-2.732	0.217	0.235
-15.0	-0.796	0.24867	-0.013	0.945	0.006	0.975	0.008	-3.201	0.628	0.234
-14.0	-0.790	0.20826	-0.013	0.941	0.006	0.972	0.008	-3.793	0.282	0.234
-13.0	-0.773	0.17997	-0.013	0.935	0.006	0.970	0.008	-4.296	0.270	0.233
-12.0	-0.745	0.15367	-0.014	0.926	0.006	0.968	0.008	-4.849	0.268	0.231
-11.0	-0.705	0.12947	-0.015	0.916	0.007	0.966	0.009	-5.449	0.264	0.229
-10.0	-0.654	0.11168	-0.015	0.907	0.007	0.963	0.010	-5.859	0.263	0.227
-9.0	-0.593	0.09556	-0.016	0.892	0.008	0.961	0.012	-6.204	0.266	0.223
-8.0	-0.522	0.08237	-0.017	0.878	0.010	0.959	0.015	-6.340	0.269	0.217
-7.0	-0.444	0.07142	-0.019	0.858	0.014	0.957	0.021	-6.214	0.268	0.207
-6.0	-0.359	0.06291	-0.020	0.838	0.019	0.952	0.026	-5.709	0.275	0.193
-5.0	-0.271	0.05550	-0.023	0.808	0.024	0.951	0.045	-4.876	0.419	0.164
-4.0	-0.218	0.03030	-0.044	0.775	0.042	0.950	0.980	-7.203	0.381	0.048
-3.0	-0.101	0.02686	-0.045	0.737	0.115	0.949	0.989	-3.765	0.260	-0.199
-2.0	0.017	0.02659	-0.047	0.690	0.250	0.948	0.990	0.653	0.260	2.930
-1.0	0.136	0.02531	-0.048	0.634	0.602	0.949	0.984	5.380	0.260	0.600
0.0	0.253	0.02858	-0.049	0.562	0.726	0.952	0.980	8.864	0.260	0.443
1.0	0.371	0.02927	-0.050	0.475	0.818	0.955	0.977	12.687	0.260	0.385
2.0	0.488	0.03034	-0.051	0.420	0.873	0.945	0.976	16.081	0.259	0.355
3.0	0.602	0.03178	-0.052	0.383	0.906	0.925	0.976	18.937	0.259	0.337
4.0	0.712	0.03368	-0.053	0.341	0.926	0.897	0.978	21.141	0.259	0.325
5.0	0.820	0.03616	-0.054	0.272	0.941	0.879	0.980	22.676	0.262	0.316
6.0	0.933	0.03897	-0.056	0.039	0.952	0.912	0.982	23.942	-0.430	0.310
7.0	0.852	0.06445	-0.033	0.019	0.960	0.055	0.984	13.218	2.218	0.288
8.0	0.919	0.07512	-0.028	0.015	0.966	0.022	0.986	12.230	0.207	0.280
9.0	0.982	0.08679	-0.027	0.009	0.972	0.017	0.989	11.311	0.233	0.278
10.0	1.033	0.10170	-0.026	0.007	0.976	0.013	0.991	10.161	0.225	0.275
11.0	1.073	0.12175	-0.025	0.006	0.979	0.009	0.991	8.810	0.227	0.273
12.0	1.099	0.14133	-0.024	0.005	0.982	0.008	0.992	7.775	0.242	0.272
13.0	1.112	0.16524	-0.024	0.004	0.984	0.007	0.994	6.727	0.270	0.272
14.0	1.111	0.19998	-0.025	0.004	0.988	0.007	0.997	5.556	0.240	0.272
15.0	1.098	0.23845	-0.025	0.004	0.991	0.006	0.997	4.605	0.240	0.272
16.0	1.075	0.27041	-0.025	0.004	0.993	0.006	0.997	3.974	0.239	0.273
17.0	1.042	0.29888	-0.025	0.004	0.997	0.005	0.997	3.487	0.247	0.274
18.0	1.003	0.35100	-0.025	0.004	0.998	0.005	0.998	2.857	0.250	0.275
19.0	0.959	0.42234	-0.025	0.003	0.998	0.005	0.998	2.270	0.245	0.276
20.0	0.895	0.47565	-0.026	0.003	0.998	0.005	0.998	1.882	0.240	0.279

Name = NACA 2411
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.657	0.24730	-0.012	0.935	0.004	0.992	0.011	-2.656	0.242	0.232
-19.0	-0.698	0.22241	-0.012	0.924	0.004	0.992	0.011	-3.137	0.242	0.232
-18.0	-0.736	0.19639	-0.013	0.914	0.005	0.992	0.011	-3.747	0.239	0.233
-17.0	-0.769	0.17253	-0.013	0.905	0.005	0.992	0.012	-4.458	0.234	0.233
-16.0	-0.793	0.15286	-0.014	0.887	0.005	0.993	0.013	-5.190	0.207	0.233
-15.0	-0.797	0.13464	-0.014	0.874	0.006	0.993	0.014	-5.921	1.555	0.232
-14.0	-0.792	0.11790	-0.015	0.851	0.006	0.994	0.018	-6.717	0.364	0.231
-13.0	-0.776	0.10529	-0.017	0.829	0.006	0.994	0.024	-7.373	0.301	0.228
-12.0	-0.749	0.09128	-0.018	0.801	0.006	0.994	0.027	-8.201	0.295	0.227
-11.0	-0.711	0.07904	-0.020	0.767	0.007	0.995	0.041	-8.996	0.307	0.222
-10.0	-0.664	0.06773	-0.022	0.730	0.007	0.995	0.069	-9.804	0.413	0.216
-9.0	-0.639	0.04203	-0.031	0.690	0.008	0.995	0.326	-15.208	1.241	0.201
-8.0	-0.646	0.01884	-0.040	0.645	0.010	0.995	0.970	-34.295	0.362	0.188
-7.0	-0.550	0.01348	-0.041	0.597	0.014	0.995	0.987	-40.835	0.262	0.175
-6.0	-0.445	0.01395	-0.042	0.544	0.018	0.995	0.990	-31.910	0.260	0.155
-5.0	-0.334	0.01334	-0.044	0.484	0.023	0.995	0.992	-25.040	0.260	0.120
-4.0	-0.219	0.01301	-0.045	0.431	0.038	0.994	0.993	-16.812	0.260	0.046
-3.0	-0.101	0.01256	-0.046	0.403	0.061	0.994	0.995	-8.061	0.260	-0.203
-2.0	0.017	0.01229	-0.047	0.372	0.098	0.994	0.996	1.415	0.260	2.956
-1.0	0.137	0.01209	-0.048	0.348	0.151	0.994	0.997	11.299	0.260	0.603
0.0	0.255	0.01284	-0.049	0.310	0.205	0.993	0.998	19.888	0.260	0.444
1.0	0.374	0.01292	-0.051	0.270	0.269	0.993	0.998	28.952	0.260	0.386
2.0	0.493	0.01302	-0.052	0.226	0.381	0.992	0.998	37.832	0.261	0.356
3.0	0.610	0.01339	-0.053	0.177	0.489	0.991	0.998	45.555	0.261	0.337
4.0	0.725	0.01292	-0.054	0.118	0.551	0.990	0.998	56.159	0.261	0.325
5.0	0.838	0.01391	-0.056	0.058	0.625	0.984	0.998	60.217	0.261	0.317
6.0	0.946	0.01986	-0.057	0.031	0.717	0.978	0.998	47.599	0.262	0.310
7.0	1.044	0.02161	-0.058	0.018	0.803	0.968	0.998	48.309	0.262	0.306
8.0	1.132	0.02358	-0.059	0.014	0.860	0.955	0.998	48.004	0.263	0.302
9.0	1.205	0.02617	-0.060	0.009	0.897	0.931	0.998	46.036	0.264	0.300
10.0	1.260	0.02936	-0.061	0.007	0.920	0.892	0.998	42.913	0.262	0.298
11.0	1.289	0.03407	-0.061	0.006	0.938	0.818	0.998	37.839	-0.223	0.297
12.0	1.264	0.04598	-0.059	0.005	0.951	0.611	0.998	27.498	0.383	0.297
13.0	1.133	0.09766	-0.040	0.004	0.960	0.084	0.998	11.602	0.415	0.286
14.0	1.120	0.11580	-0.035	0.004	0.967	0.037	0.998	9.668	0.521	0.281
15.0	1.103	0.13199	-0.032	0.004	0.976	0.022	0.998	8.354	0.346	0.279
16.0	1.078	0.14910	-0.031	0.004	0.979	0.017	0.998	7.227	0.261	0.279
17.0	1.045	0.16777	-0.032	0.004	0.982	0.017	0.998	6.230	0.237	0.280
18.0	1.006	0.18997	-0.032	0.003	0.987	0.016	0.998	5.294	0.276	0.282
19.0	0.960	0.21020	-0.029	0.003	0.998	0.010	0.998	4.567	0.255	0.281
20.0	0.897	0.23778	-0.031	0.003	0.998	0.013	0.998	3.773	0.218	0.285

Name = NACA 2411
Mach = 0; Re = 830000; T.U. = 1.0; T.L. = 1.0
